AGS,Ort,2017_AfD_%,2017_CDU_%,2017_LINKE_%,2017_SPD_%,2017_FDP_%,2017_GRÜNE_%,2017_andere_%
14627180,"Nossen, Stadt",34.8,28.1,11.4,8.4,8.4,3.4,5.5
14627190,Nünchritz,31.7,28.4,14.7,10.0,7.6,1.5,6.0
14627200,Priestewitz,36.4,30.4,11.6,6.4,7.0,2.8,5.4
14627210,"Radebeul, Stadt",25.2,27.1,13.2,8.9,11.7,7.4,6.6
14627220,"Radeburg, Stadt",34.2,27.9,12.8,7.5,8.5,2.9,6.2
14627230,"Riesa, Stadt",30.8,25.5,16.4,10.4,7.6,2.4,6.9
14627240,Röderaue,34.1,29.5,13.2,10.2,6.2,1.8,5.0
14627250,Schönfeld,40.3,27.1,10.0,7.5,7.1,2.1,5.9
14627260,Stauchitz,31.7,29.4,14.3,7.4,8.2,1.7,7.2
14627270,"Strehla, Stadt",29.2,29.0,12.9,9.7,8.1,2.6,8.5
14627290,Thiendorf,42.9,22.5,11.1,7.6,8.1,2.1,5.7
14627310,Weinböhla,34.0,25.8,11.9,7.3,10.2,4.0,6.8
14627340,Wülknitz,34.0,28.6,11.2,8.0,8.5,2.0,7.7
14627360,Zeithain,36.2,26.4,13.1,8.5,7.0,1.7,7.0
14625020,"Bautzen, Stadt",32.3,24.2,15.3,9.3,7.7,3.3,7.8
14625030,"Bernsdorf, Stadt",31.7,27.4,16.8,9.2,6.1,1.7,7.1
14625040,"Bischofswerda, Stadt",32.2,25.7,15.3,10.3,7.3,2.5,6.7
14625060,Burkau,37.6,29.3,9.2,10.4,7.1,1.4,4.8
14625080,Crostwitz,20.3,47.2,9.5,5.2,9.5,3.2,5.0
14625090,Cunewalde,38.4,27.2,12.7,7.4,7.0,1.6,5.7
14625100,Demitz-Thumitz,37.6,25.7,12.8,8.8,7.7,1.2,6.1
14625110,Doberschau-Gaußig,39.9,26.0,9.2,5.9,8.9,2.7,7.4
