AGS,Ort,2017_AfD_%,2017_CDU_%,2017_LINKE_%,2017_SPD_%,2017_FDP_%,2017_GRÜNE_%,2017_andere_%
14521170,"Eibenstock, Stadt",27.7,35.1,11.8,11.1,6.4,2.1,5.9
14521180,"Elterlein, Stadt",35.0,28.9,11.1,9.1,7.2,2.3,6.4
14521200,Gelenau/Erzgeb.,25.6,34.4,12.7,8.6,7.9,1.9,9.0
14521210,"Geyer, Stadt",28.6,31.7,15.3,8.2,8.1,2.0,6.0
14521220,Gornau/Erzgeb.,27.2,32.7,13.3,8.4,9.2,3.4,5.8
14521240,Großolbersdorf,23.3,36.7,13.0,11.2,8.0,2.4,5.3
14521250,Großrückerswalde,30.9,34.8,10.1,9.8,6.6,2.3,5.5
14521260,"Grünhain-Beierfeld, Stadt",29.7,31.1,13.2,9.7,7.5,1.8,7.1
14521270,Grünhainichen,30.0,30.7,13.3,10.0,8.2,2.1,5.6
14521280,Heidersdorf,33.5,29.2,11.9,8.2,9.3,1.9,6.0
14521320,"Johanngeorgenstadt, Stadt",33.6,25.1,16.6,12.0,6.2,1.3,5.1
14521330,"Jöhstadt, Stadt",35.4,29.4,11.6,9.1,6.2,2.1,6.2
14521340,Königswalde,32.9,36.1,9.0,7.4,5.9,1.4,7.3
14521355,"Lauter-Bernsbach, Stadt",32.0,29.9,13.2,8.3,7.8,2.3,6.6
14521370,"Lößnitz, Stadt",30.2,29.3,14.1,10.4,6.1,2.1,7.7
14521390,"Marienberg, Stadt",30.0,30.1,14.3,9.6,8.0,2.3,5.7
14521400,Mildenau,32.0,33.5,9.4,8.8,8.6,1.9,5.9
14521440,"Oberwiesenthal, Kurort, Stadt",22.3,34.8,16.8,9.7,9.5,2.3,4.7
14521460,"Olbernhau, Stadt",29.1,28.5,15.2,10.3,9.6,2.4,5.0
14521495,"Pockau-Lengefeld, Stadt",29.9,31.9,14.4,7.9,8.0,2.0,5.9
14521500,Raschau-Markersbach,34.2,26.2,14.1,8.6,7.2,2.2,7.5
14521510,"Scheibenberg, Stadt",26.7,33.2,13.1,9.7,7.9,2.9,6.5
14521520,"Schlettau, Stadt",30.1,28.0,15.5,9.0,7.2,2.4,7.8
14521530,"Schneeberg, Stadt",27.0,30.8,15.9,10.0,6.2,1.9,8.2
14521540,Schönheide,25.1,34.4,12.1,13.1,7.4,2.3,5.7
14521550,"Schwarzenberg/Erzgeb., Stadt",31.1,27.0,16.4,9.0,7.1,2.3,7.2
14521560,Sehmatal,27.5,36.4,11.2,8.9,7.2,2.6,6.3
14521570,"Seiffen/Erzgeb., Kurort",32.4,34.4,11.0,7.1,10.1,1.4,3.6
14521600,Stützengrün,27.5,36.7,11.0,11.0,7.5,1.6,4.8
14521610,Tannenberg,34.2,26.5,12.9,6.6,8.2,3.0,8.6
14521630,Thermalbad Wiesenbad,30.6,33.6,11.6,7.4,6.9,2.5,7.2
14521640,"Thum, Stadt",29.1,34.0,11.8,7.8,8.5,2.0,6.8
14521670,"Wolkenstein, Stadt",28.4,33.1,13.4,8.1,8.5,2.5,5.9
14521690,"Zschopau, Stadt",28.2,27.8,17.7,10.1,7.1,3.0,6.0
14521700,Zschorlau,26.1,40.6,10.9,8.4,6.4,2.0,5.5
14524030,"Crimmitschau, Stadt",25.2,31.8,16.8,11.0,7.4,2.8,5.0
14524040,Crinitzberg,25.9,39.1,9.5,9.3,8.0,1.5,6.7
14524050,Dennheritz,22.9,37.9,10.7,10.7,9.6,3.1,5.2
14524060,Fraureuth,24.1,34.8,15.7,11.3,6.4,3.2,4.6
14524080,"Glauchau, Stadt",22.8,30.5,17.3,11.6,7.9,3.6,6.2
14524090,"Hartenstein, Stadt",28.6,37.7,11.5,7.7,7.0,2.1,5.5
14524100,Hartmannsdorf b. Kirchberg,22.7,42.9,9.0,9.7,8.1,2.3,5.2
14524110,Hirschfeld,28.6,38.5,11.7,7.5,6.6,1.9,5.2
14524130,"Kirchberg, Stadt",28.3,31.5,15.0,10.0,6.6,2.5,6.0
14524140,Langenbernsdorf,26.8,35.0,12.9,9.8,7.3,2.6,5.7
14524150,Langenweißbach,28.5,27.8,15.8,10.3,8.3,2.4,7.0
14524170,Lichtentanne,23.3,33.0,16.4,11.1,9.0,2.7,4.5
14524190,"Meerane, Stadt",26.3,29.3,14.4,11.8,8.7,2.6,7.0
14524200,Mülsen,26.9,34.2,14.2,9.3,7.6,2.2,5.5
14524210,Neukirchen/Pleiße,24.6,31.9,15.7,10.2,8.8,3.2,5.6
14524240,Oberwiera,23.3,33.4,17.3,9.8,7.8,3.5,5.0
14524250,Reinsdorf,24.7,33.9,15.4,10.2,7.7,2.8,5.2
14524260,Remse,27.5,29.6,15.6,11.9,8.2,2.6,4.6
14524270,Schönberg,22.6,37.3,11.9,10.5,10.3,2.6,4.7
14524290,"Waldenburg, Stadt",24.5,31.0,17.1,9.7,6.8,3.9,6.9
14524300,"Werdau, Stadt",26.8,28.4,18.5,11.0,7.1,2.5,5.7
14524310,"Wildenfels, Stadt",29.7,31.7,13.4,9.6,7.8,2.4,5.4
14524320,"Wilkau-Haßlau, Stadt",27.7,29.0,17.0,10.6,8.1,2.3,5.3
14524330,"Zwickau, Stadt",27.0,27.8,18.0,11.2,7.3,3.2,5.5
14523010,"Adorf/Vogtl., Stadt",25.0,33.8,14.3,12.1,5.9,3.0,5.9
14523020,"Auerbach/Vogtl., Stadt",24.4,33.1,16.3,11.3,7.1,2.6,5.4
14523030,Bad Brambach,32.3,26.9,16.4,12.7,5.2,2.3,4.1
14523040,"Bad Elster, Stadt",25.4,30.5,15.4,12.9,6.5,3.7,5.6
14523050,Bergen,33.4,27.3,13.7,10.3,6.6,3.3,5.4
14523060,Bösenbrunn,29.6,28.3,17.2,10.8,4.5,3.6,6.0
14523080,Eichigt,33.5,29.6,14.7,8.6,4.6,2.8,6.1
14523090,Ellefeld,25.7,35.0,10.5,12.3,8.4,3.2,5.0
14523100,"Elsterberg, Stadt",21.1,34.4,16.2,11.8,7.7,3.6,5.2
14523120,"Falkenstein/Vogtl., Stadt",23.9,34.3,15.1,11.5,7.1,2.5,5.6
14523130,Grünbach,21.3,39.7,15.5,10.8,6.8,1.9,4.0
14523150,Heinsdorfergrund,23.1,37.2,12.0,10.2,6.9,3.2,7.6
14523160,"Klingenthal, Stadt",28.8,32.5,15.6,10.0,6.4,2.3,4.4
14523170,"Lengenfeld, Stadt",24.0,34.0,16.1,10.9,7.0,3.1,5.0
14523190,Limbach,22.3,35.8,13.0,10.8,9.4,3.9,4.8
14523200,"Markneukirchen, Stadt",27.1,31.0,13.1,11.5,7.8,3.6,6.0
14523230,Mühlental,37.1,27.9,11.4,8.5,7.4,1.7,6.0
14523245,Muldenhammer,24.3,37.2,14.6,11.0,6.9,1.5,4.6
14523260,"Netzschkau, Stadt",24.4,31.7,16.5,12.0,7.5,2.6,5.2
14523270,Neuensalz,34.5,28.4,13.3,9.5,6.6,1.5,6.2
14523280,Neumark,26.0,31.5,15.1,10.7,8.2,3.8,4.8
14523290,Neustadt/Vogtl.,26.1,33.6,14.9,11.2,6.3,2.3,5.6
14523300,"Oelsnitz/Vogtl., Stadt",25.9,28.4,18.0,12.4,7.4,2.4,5.5
14523310,"Pausa-Mühltroff, Stadt",24.6,34.9,13.1,10.6,8.1,3.2,5.5
14523320,"Plauen, Stadt",27.9,25.4,17.4,11.9,7.6,3.5,6.3
14523330,Pöhl,26.1,33.3,14.7,9.3,7.8,3.6,5.2
14523340,"Reichenbach im Vogtland, Stadt",25.5,28.8,17.9,12.3,7.1,2.7,5.7
14523360,"Rodewisch, Stadt",25.7,32.2,16.8,10.9,6.8,2.5,5.0
14523365,Rosenbach/Vogtl.,31.8,28.6,13.8,10.4,6.7,3.6,5.1
14523370,"Schöneck/Vogtl., Stadt",27.1,31.8,15.0,11.2,7.3,3.4,4.1
14523380,Steinberg,28.1,39.9,11.6,8.3,5.2,2.2,4.7
14523410,Theuma,32.9,30.0,14.5,7.9,7.7,2.2,4.8
14523420,Tirpersdorf,28.4,31.8,15.5,10.2,5.9,2.2,5.9
14523430,"Treuen, Stadt",26.4,31.5,15.3,10.7,6.8,3.1,6.2
14523440,Triebel/Vogtl.,26.3,30.5,16.7,11.3,6.0,2.5,6.8
14523450,Weischlitz,24.7,33.8,14.2,10.4,7.7,3.5,5.7
14523460,Werda,26.7,35.6,13.1,9.1,7.9,2.5,5.2
14612000,Dresden,22.5,23.5,17.6,10.2,9.9,8.7,7.5
14713000,Leipzig,18.3,22.7,21.0,13.0,8.5,8.8,7.6
14521035,Aue-Bad Schlema,28.1,27.9,17.3,10.0,6.3,2.0,8.4
