wb,Wahlkreis,Wahlberechtige,Wähler,Wahlbeteiligung,1_Stimmen AfD,1_Stimmen CDU,1_Stimmen FDP,1_Stimmen GRÜNE,1_Stimmen LINKE,1_Stimmen SPD,1_Stimmen Ungültige Stimmen,1_Stimmen andere Parteien,1_Stimmen gültige Stimmen,1_Anteil AfD,1_Anteil CDU,1_Anteil FDP,1_Anteil GRÜNE,1_Anteil LINKE,1_Anteil SPD,1_Anteil Ungültige Stimmen,1_Anteil andere Parteien,1_Anteil gültige Stimmen,2_Stimmen AfD,2_Stimmen CDU,2_Stimmen FDP,2_Stimmen GRÜNE,2_Stimmen LINKE,2_Stimmen SPD,2_Stimmen Ungültige Stimmen,2_Stimmen andere Parteien,2_Stimmen gültige Stimmen,2_Anteil AfD,2_Anteil CDU,2_Anteil FDP,2_Anteil GRÜNE,2_Anteil LINKE,2_Anteil SPD,2_Anteil Ungültige Stimmen,2_Anteil andere Parteien,2_Anteil gültige Stimmen,2_Gewinner
93200,46.0,1626,665,40.9,114,172,44,158,102,69,6,0,659,17.3,26.1,6.7,24.0,15.5,10.5,0.9,0.0,99.1,108,138,33,158,80,59,3,86,662,16.3,20.8,5.0,23.9,12.1,8.9,0.5,13.0,99.5,GRÜNE
93300,46.0,1003,414,41.3,72,89,20,120,62,47,4,0,410,17.6,21.7,4.9,29.3,15.1,11.5,1.0,0.0,99.0,64,86,20,109,40,32,0,63,414,15.5,20.8,4.8,26.3,9.7,7.7,0.0,15.2,100.0,GRÜNE
93400,46.0,938,502,53.5,121,138,38,90,64,40,11,0,491,24.6,28.1,7.7,18.3,13.0,8.1,2.2,0.0,97.8,112,117,29,85,51,45,7,56,495,22.6,23.6,5.9,17.2,10.3,9.1,1.4,11.3,98.6,CDU
93500,46.0,1345,585,43.5,133,135,37,115,100,63,2,0,583,22.8,23.2,6.3,19.7,17.2,10.8,0.3,0.0,99.7,122,100,29,110,79,55,3,87,582,21.0,17.2,5.0,18.9,13.6,9.5,0.5,14.9,99.5,AfD
93600,46.0,1650,632,38.3,100,172,38,146,92,76,8,0,624,16.0,27.6,6.1,23.4,14.7,12.2,1.3,0.0,98.7,96,154,25,156,82,54,3,62,629,15.3,24.5,4.0,24.8,13.0,8.6,0.5,9.9,99.5,GRÜNE
94101,46.0,924,380,41.1,104,99,23,55,53,41,5,0,375,27.7,26.4,6.1,14.7,14.1,10.9,1.3,0.0,98.7,99,75,19,52,49,39,2,45,378,26.2,19.8,5.0,13.8,13.0,10.3,0.5,11.9,99.5,AfD
94102,46.0,964,412,42.7,135,122,23,37,46,42,7,0,405,33.3,30.1,5.7,9.1,11.4,10.4,1.7,0.0,98.3,128,107,31,43,29,41,3,30,409,31.3,26.2,7.6,10.5,7.1,10.0,0.7,7.3,99.3,AfD
94200,46.0,1309,621,47.4,185,193,28,82,71,57,5,0,616,30.0,31.3,4.5,13.3,11.5,9.3,0.8,0.0,99.2,185,193,28,82,71,57,4,1,617,30.0,31.3,4.5,13.3,11.5,9.2,0.6,0.2,99.4,CDU
94400,46.0,1063,511,48.1,161,186,28,55,45,33,3,0,508,31.7,36.6,5.5,10.8,8.9,6.5,0.6,0.0,99.4,152,153,32,54,37,34,2,47,509,29.9,30.1,6.3,10.6,7.3,6.7,0.4,9.2,99.6,CDU
94501,46.0,984,487,49.5,110,198,24,51,53,46,5,0,482,22.8,41.1,5.0,10.6,11.0,9.5,1.0,0.0,99.0,107,154,34,63,45,41,2,41,485,22.1,31.8,7.0,13.0,9.3,8.5,0.4,8.5,99.6,CDU
94502,46.0,888,453,51.0,103,218,24,45,28,32,3,0,450,22.9,48.4,5.3,10.0,6.2,7.1,0.7,0.0,99.3,93,167,31,62,29,37,1,33,452,20.6,36.9,6.9,13.7,6.4,8.2,0.2,7.3,99.8,CDU
94600,46.0,1466,721,49.2,242,196,50,86,81,57,9,0,712,34.0,27.5,7.0,12.1,11.4,8.0,1.2,0.0,98.8,224,173,42,87,64,53,5,73,716,31.3,24.2,5.9,12.2,8.9,7.4,0.7,10.2,99.3,AfD
95100,46.0,1492,492,33.0,215,90,22,29,81,40,15,0,477,45.1,18.9,4.6,6.1,17.0,8.4,3.0,0.0,97.0,197,82,19,28,68,36,17,45,475,41.5,17.3,4.0,5.9,14.3,7.6,3.5,9.5,96.5,AfD
95200,46.0,977,289,29.6,143,51,14,14,39,24,4,0,285,50.2,17.9,4.9,4.9,13.7,8.4,1.4,0.0,98.6,128,54,9,15,31,18,3,31,286,44.8,18.9,3.1,5.2,10.8,6.3,1.0,10.8,99.0,AfD
95400,46.0,854,285,33.4,105,74,11,22,38,27,8,0,277,37.9,26.7,4.0,7.9,13.7,9.7,2.8,0.0,97.2,101,70,12,20,33,25,4,20,281,35.9,24.9,4.3,7.1,11.7,8.9,1.4,7.1,98.6,AfD
95500,46.0,1354,492,36.3,198,124,31,32,52,44,11,0,481,41.2,25.8,6.4,6.7,10.8,9.1,2.2,0.0,97.8,179,116,26,27,44,37,6,57,486,36.8,23.9,5.3,5.6,9.1,7.6,1.2,11.7,98.8,AfD
95600,46.0,1100,423,38.5,219,78,17,19,48,31,11,0,412,53.2,18.9,4.1,4.6,11.7,7.5,2.6,0.0,97.4,189,73,18,22,41,24,11,45,412,45.9,17.7,4.4,5.3,10.0,5.8,2.6,10.9,97.4,AfD
96100,46.0,1413,533,37.7,196,123,32,41,84,42,15,0,518,37.8,23.7,6.2,7.9,16.2,8.1,2.8,0.0,97.2,181,114,27,37,81,34,11,48,522,34.7,21.8,5.2,7.1,15.5,6.5,2.1,9.2,97.9,AfD
96300,46.0,1773,593,33.4,225,136,45,33,82,55,17,0,576,39.1,23.6,7.8,5.7,14.2,9.5,2.9,0.0,97.1,222,139,33,25,73,39,12,50,581,38.2,23.9,5.7,4.3,12.6,6.7,2.0,8.6,98.0,AfD
96600,46.0,1656,548,33.1,245,119,27,40,60,47,10,0,538,45.5,22.1,5.0,7.4,11.2,8.7,1.8,0.0,98.2,223,105,27,37,50,35,10,61,538,41.4,19.5,5.0,6.9,9.3,6.5,1.8,11.3,98.2,AfD
97100,46.0,1465,594,40.5,222,147,27,49,82,46,21,0,573,38.7,25.7,4.7,8.6,14.3,8.0,3.5,0.0,96.5,211,127,28,41,68,40,11,68,583,36.2,21.8,4.8,7.0,11.7,6.9,1.9,11.7,98.1,AfD
97300,46.0,1583,612,38.7,236,144,32,40,96,50,14,0,598,39.5,24.1,5.4,6.7,16.1,8.4,2.3,0.0,97.7,216,124,20,36,73,37,9,97,603,35.8,20.6,3.3,6.0,12.1,6.1,1.5,16.1,98.5,AfD
97600,46.0,1380,529,38.3,220,132,28,29,79,32,9,0,520,42.3,25.4,5.4,5.6,15.2,6.2,1.7,0.0,98.3,201,127,24,28,71,32,2,44,527,38.1,24.1,4.6,5.3,13.5,6.1,0.4,8.3,99.6,AfD
98100,46.0,1422,666,46.8,236,231,46,61,47,36,9,0,657,35.9,35.2,7.0,9.3,7.2,5.5,1.4,0.0,98.6,222,193,41,56,38,35,8,73,658,33.7,29.3,6.2,8.5,5.8,5.3,1.2,11.1,98.8,AfD
98200,46.0,1441,729,50.6,241,264,38,64,66,50,6,0,723,33.3,36.5,5.3,8.9,9.1,6.9,0.8,0.0,99.2,242,204,40,86,55,46,3,53,726,33.3,28.1,5.5,11.8,7.6,6.3,0.4,7.3,99.6,AfD
98300,46.0,1354,674,49.8,238,242,45,47,44,47,11,0,663,35.9,36.5,6.8,7.1,6.6,7.1,1.6,0.0,98.4,229,210,50,48,36,39,5,57,669,34.2,31.4,7.5,7.2,5.4,5.8,0.7,8.5,99.3,AfD
98401,46.0,1057,468,44.3,144,142,30,49,63,37,3,0,465,31.0,30.5,6.5,10.5,13.5,8.0,0.6,0.0,99.4,134,132,21,51,47,39,2,42,466,28.8,28.3,4.5,10.9,10.1,8.4,0.4,9.0,99.6,AfD
98402,46.0,966,396,41.0,147,110,28,43,40,21,7,0,389,37.8,28.3,7.2,11.1,10.3,5.4,1.8,0.0,98.2,134,91,29,37,32,13,5,55,391,34.3,23.3,7.4,9.5,8.2,3.3,1.3,14.1,98.7,AfD
98500,46.0,1499,735,49.0,219,277,32,81,63,59,4,0,731,30.0,37.9,4.4,11.1,8.6,8.1,0.5,0.0,99.5,207,221,46,93,47,60,2,59,733,28.2,30.2,6.3,12.7,6.4,8.2,0.3,8.0,99.7,CDU
98600,46.0,1267,607,47.9,203,218,21,58,55,46,6,0,601,33.8,36.3,3.5,9.7,9.2,7.7,1.0,0.0,99.0,189,172,24,62,41,57,5,57,602,31.4,28.6,4.0,10.3,6.8,9.5,0.8,9.5,99.2,AfD
99110,46.0,1504,775,51.5,259,327,56,52,49,24,8,0,767,33.8,42.6,7.3,6.8,6.4,3.1,1.0,0.0,99.0,244,260,63,60,44,26,5,73,770,31.7,33.8,8.2,7.8,5.7,3.4,0.6,9.5,99.4,CDU
99310,46.0,1130,641,56.7,232,241,42,30,55,35,6,0,635,36.5,38.0,6.6,4.7,8.7,5.5,0.9,0.0,99.1,229,204,56,31,46,33,2,40,639,35.8,31.9,8.8,4.9,7.2,5.2,0.3,6.3,99.7,AfD
99810,46.0,909,563,61.9,170,232,49,22,44,37,9,0,554,30.7,41.9,8.8,4.0,7.9,6.7,1.6,0.0,98.4,159,209,39,22,45,45,7,37,556,28.6,37.6,7.0,4.0,8.1,8.1,1.2,6.7,98.8,CDU
01000,45.0,0,462,61.9,60,98,25,145,96,20,3,15,459,13.1,21.4,5.4,31.6,20.9,4.4,0.6,3.3,99.4,58,96,28,128,80,44,3,25,459,12.6,20.9,6.1,27.9,17.4,9.6,0.6,5.4,99.4,GRÜNE
02001,45.0,0,785,61.9,119,204,51,151,157,61,8,34,777,15.3,26.3,6.6,19.4,20.2,7.9,1.0,4.4,99.0,109,219,29,126,125,84,3,90,782,13.9,28.0,3.7,16.1,16.0,10.7,0.4,11.5,99.6,CDU
02002,45.0,0,480,61.9,59,113,30,106,94,48,4,26,476,12.4,23.7,6.3,22.3,19.7,10.1,0.8,5.5,99.2,60,123,25,90,75,50,0,57,480,12.5,25.6,5.2,18.8,15.6,10.4,0.0,11.9,100.0,CDU
03001,45.0,0,617,61.9,91,147,32,172,105,44,1,25,616,14.8,23.9,5.2,27.9,17.0,7.1,0.2,4.1,99.8,82,156,41,125,82,69,1,61,616,13.3,25.3,6.7,20.3,13.3,11.2,0.2,9.9,99.8,CDU
03002,45.0,0,963,61.9,150,275,55,197,159,85,10,32,953,15.7,28.9,5.8,20.7,16.7,8.9,1.0,3.4,99.0,142,298,53,146,128,102,2,92,961,14.8,31.0,5.5,15.2,13.3,10.6,0.2,9.6,99.8,CDU
04001,47.0,0,1252,61.9,169,403,70,252,211,96,22,29,1230,13.7,32.8,5.7,20.5,17.2,7.8,1.8,2.4,98.2,165,377,86,239,184,111,6,84,1246,13.2,30.3,6.9,19.2,14.8,8.9,0.5,6.7,99.5,CDU
04002,47.0,0,783,61.9,152,209,51,95,150,89,8,29,775,19.6,27.0,6.6,12.3,19.4,11.5,1.0,3.7,99.0,146,197,53,91,138,89,5,64,778,18.8,25.3,6.8,11.7,17.7,11.4,0.6,8.2,99.4,CDU
05001,47.0,0,885,61.9,84,156,43,304,145,80,2,71,883,9.5,17.7,4.9,34.4,16.4,9.1,0.2,8.0,99.8,76,146,41,276,133,77,4,132,881,8.6,16.6,4.7,31.3,15.1,8.7,0.5,15.0,99.5,GRÜNE
05002,47.0,0,781,61.9,66,194,50,233,116,64,2,56,779,8.5,24.9,6.4,29.9,14.9,8.2,0.3,7.2,99.7,65,162,48,211,125,69,2,99,779,8.3,20.8,6.2,27.1,16.0,8.9,0.3,12.7,99.7,GRÜNE
06001,45.0,0,516,61.9,89,131,18,91,124,41,4,18,512,17.4,25.6,3.5,17.8,24.2,8.0,0.8,3.5,99.2,75,149,18,78,101,53,1,41,515,14.6,28.9,3.5,15.1,19.6,10.3,0.2,8.0,99.8,CDU
06002,45.0,0,972,61.9,101,191,31,372,163,74,2,38,970,10.4,19.7,3.2,38.4,16.8,7.6,0.2,3.9,99.8,96,205,35,310,153,98,0,75,972,9.9,21.1,3.6,31.9,15.7,10.1,0.0,7.7,100.0,GRÜNE
06003,45.0,0,888,61.9,104,215,54,263,128,69,12,43,876,11.9,24.5,6.2,30.0,14.6,7.9,1.4,4.9,98.6,95,236,57,227,115,86,4,68,884,10.7,26.7,6.4,25.7,13.0,9.7,0.5,7.7,99.5,CDU
07001,45.0,0,995,61.9,170,304,65,160,155,97,10,34,985,17.3,30.9,6.6,16.2,15.7,9.8,1.0,3.5,99.0,150,355,54,126,116,93,6,95,989,15.2,35.9,5.5,12.7,11.7,9.4,0.6,9.6,99.4,CDU
07002,45.0,0,780,61.9,175,213,45,95,156,67,8,21,772,22.7,27.6,5.8,12.3,20.2,8.7,1.0,2.7,99.0,157,242,50,80,132,71,4,44,776,20.2,31.2,6.4,10.3,17.0,9.1,0.5,5.7,99.5,CDU
07003,45.0,0,902,61.9,180,232,47,143,195,71,3,31,899,20.0,25.8,5.2,15.9,21.7,7.9,0.3,3.4,99.7,148,254,49,120,151,98,1,81,901,16.4,28.2,5.4,13.3,16.8,10.9,0.1,9.0,99.9,CDU
11001,41.0,0,1103,61.9,33,116,27,485,264,103,2,73,1101,3.0,10.5,2.5,44.1,24.0,9.4,0.2,6.6,99.8,32,110,34,493,243,78,0,113,1103,2.9,10.0,3.1,44.7,22.0,7.1,0.0,10.2,100.0,GRÜNE
11002,41.0,0,962,61.9,39,92,28,443,210,104,5,41,957,4.1,9.6,2.9,46.3,21.9,10.9,0.5,4.3,99.5,33,106,33,442,169,99,3,77,959,3.4,11.1,3.4,46.1,17.6,10.3,0.3,8.0,99.7,GRÜNE
11003,41.0,0,1151,61.9,45,86,21,554,254,137,2,52,1149,3.9,7.5,1.8,48.2,22.1,11.9,0.2,4.5,99.8,42,86,21,555,232,117,1,97,1150,3.7,7.5,1.8,48.3,20.2,10.2,0.1,8.4,99.9,GRÜNE
11004,41.0,0,1210,61.9,42,95,19,605,275,113,7,54,1203,3.5,7.9,1.6,50.3,22.9,9.4,0.6,4.5,99.4,39,105,17,599,231,118,4,97,1206,3.2,8.7,1.4,49.7,19.2,9.8,0.3,8.0,99.7,GRÜNE
11005,41.0,0,1074,61.9,37,132,26,480,232,108,7,52,1067,3.5,12.4,2.4,45.0,21.7,10.1,0.7,4.9,99.3,32,144,32,484,214,79,7,82,1067,3.0,13.5,3.0,45.4,20.1,7.4,0.7,7.7,99.3,GRÜNE
12001,41.0,0,1192,61.9,93,269,50,449,151,130,10,40,1182,7.9,22.8,4.2,38.0,12.8,11.0,0.8,3.4,99.2,93,279,56,427,139,125,0,73,1192,7.8,23.4,4.7,35.8,11.7,10.5,0.0,6.1,100.0,GRÜNE
12002,41.0,0,836,61.9,98,218,42,203,158,84,8,25,828,11.8,26.3,5.1,24.5,19.1,10.1,1.0,3.0,99.0,87,226,46,207,136,59,4,71,832,10.5,27.2,5.5,24.9,16.3,7.1,0.5,8.5,99.5,CDU
13001,45.0,0,920,61.9,108,235,48,231,182,85,3,28,917,11.8,25.6,5.2,25.2,19.8,9.3,0.3,3.1,99.7,101,276,42,182,151,105,2,61,918,11.0,30.1,4.6,19.8,16.4,11.4,0.2,6.6,99.8,CDU
13002,45.0,0,1300,61.9,94,251,52,531,201,112,5,54,1295,7.3,19.4,4.0,41.0,15.5,8.6,0.4,4.2,99.6,90,281,51,454,183,128,3,110,1297,6.9,21.7,3.9,35.0,14.1,9.9,0.2,8.5,99.8,GRÜNE
14001,45.0,0,1056,61.9,48,82,25,485,279,49,4,84,1052,4.6,7.8,2.4,46.1,26.5,4.7,0.4,8.0,99.6,37,106,23,445,265,57,1,122,1055,3.5,10.0,2.2,42.2,25.1,5.4,0.1,11.6,99.9,GRÜNE
14002,45.0,0,1199,61.9,36,70,26,604,320,70,4,69,1195,3.0,5.9,2.2,50.5,26.8,5.9,0.3,5.8,99.7,34,91,20,545,285,107,2,115,1197,2.8,7.6,1.7,45.5,23.8,8.9,0.2,9.6,99.8,GRÜNE
14003,45.0,0,1194,61.9,119,159,38,504,227,81,5,61,1189,10.0,13.4,3.2,42.4,19.1,6.8,0.4,5.1,99.6,94,183,49,444,210,108,4,102,1190,7.9,15.4,4.1,37.3,17.6,9.1,0.3,8.6,99.7,GRÜNE
15000,41.0,0,717,61.9,111,152,44,212,94,67,8,29,709,15.7,21.4,6.2,29.9,13.3,9.4,1.1,4.1,98.9,101,162,43,192,93,68,4,54,713,14.2,22.7,6.0,26.9,13.0,9.5,0.6,7.6,99.4,GRÜNE
21001,47.0,0,1053,61.9,100,162,40,370,231,66,4,80,1049,9.5,15.4,3.8,35.3,22.0,6.3,0.4,7.6,99.6,92,161,34,330,207,90,3,136,1050,8.8,15.3,3.2,31.4,19.7,8.6,0.3,13.0,99.7,GRÜNE
21002,47.0,0,675,61.9,72,120,27,230,117,54,2,53,673,10.7,17.8,4.0,34.2,17.4,8.0,0.3,7.9,99.7,68,127,23,187,116,62,0,92,675,10.1,18.8,3.4,27.7,17.2,9.2,0.0,13.6,100.0,GRÜNE
21003,47.0,0,756,61.9,80,126,23,257,160,53,4,53,752,10.6,16.8,3.1,34.2,21.3,7.0,0.5,7.0,99.5,72,114,31,245,139,58,3,94,753,9.6,15.1,4.1,32.5,18.5,7.7,0.4,12.5,99.6,GRÜNE
22001,47.0,0,793,61.9,154,169,58,183,97,65,7,60,786,19.6,21.5,7.4,23.3,12.3,8.3,0.9,7.6,99.1,149,169,47,156,85,76,4,107,789,18.9,21.4,6.0,19.8,10.8,9.6,0.5,13.6,99.5,CDU
22002,47.0,0,637,61.9,122,195,44,89,89,51,8,39,629,19.4,31.0,7.0,14.1,14.1,8.1,1.3,6.2,98.7,111,180,41,81,79,57,4,84,633,17.5,28.4,6.5,12.8,12.5,9.0,0.6,13.3,99.4,CDU
22003,47.0,0,911,61.9,167,269,57,152,124,85,9,48,902,18.5,29.8,6.3,16.9,13.7,9.4,1.0,5.3,99.0,156,271,44,133,108,79,3,117,908,17.2,29.8,4.8,14.6,11.9,8.7,0.3,12.9,99.7,CDU
23000,47.0,0,826,61.9,171,300,63,110,79,56,11,36,815,21.0,36.8,7.7,13.5,9.7,6.9,1.3,4.4,98.7,156,297,60,102,73,53,7,78,819,19.0,36.3,7.3,12.5,8.9,6.5,0.8,9.5,99.2,CDU
24001,47.0,0,1031,61.9,178,291,54,235,142,90,8,33,1023,17.4,28.4,5.3,23.0,13.9,8.8,0.8,3.2,99.2,171,253,69,203,131,115,3,86,1028,16.6,24.6,6.7,19.7,12.7,11.2,0.3,8.4,99.7,CDU
24002,47.0,0,957,61.9,167,272,86,167,142,94,5,24,952,17.5,28.6,9.0,17.5,14.9,9.9,0.5,2.5,99.5,168,252,67,151,123,106,1,89,956,17.6,26.4,7.0,15.8,12.9,11.1,0.1,9.3,99.9,CDU
25001,47.0,0,974,61.9,146,225,40,229,174,91,8,61,966,15.1,23.3,4.1,23.7,18.0,9.4,0.8,6.3,99.2,131,240,41,210,151,94,3,104,971,13.5,24.7,4.2,21.6,15.6,9.7,0.3,10.7,99.7,CDU
25002,47.0,0,853,61.9,133,188,65,190,154,69,3,51,850,15.6,22.1,7.6,22.4,18.1,8.1,0.4,6.0,99.6,123,171,57,172,137,77,3,113,850,14.5,20.1,6.7,20.2,16.1,9.1,0.4,13.3,99.6,GRÜNE
25003,47.0,0,648,61.9,80,211,35,125,108,59,4,26,644,12.4,32.8,5.4,19.4,16.8,9.2,0.6,4.0,99.4,71,209,32,123,109,52,1,51,647,11.0,32.3,4.9,19.0,16.8,8.0,0.2,7.9,99.8,CDU
31001,41.0,0,1036,61.9,230,341,80,141,135,77,5,27,1031,22.3,33.1,7.8,13.7,13.1,7.5,0.5,2.6,99.5,213,299,119,134,112,81,2,76,1034,20.6,28.9,11.5,13.0,10.8,7.8,0.2,7.4,99.8,CDU
31002,41.0,0,1099,61.9,185,394,115,175,99,99,10,22,1089,17.0,36.2,10.6,16.1,9.1,9.1,0.9,2.0,99.1,185,359,158,165,79,91,2,60,1097,16.9,32.7,14.4,15.0,7.2,8.3,0.2,5.5,99.8,CDU
31003,41.0,0,860,61.9,182,291,82,108,94,72,8,23,852,21.4,34.2,9.6,12.7,11.0,8.5,0.9,2.7,99.1,165,265,117,107,76,66,2,62,858,19.2,30.9,13.6,12.5,8.9,7.7,0.2,7.2,99.8,CDU
32001,41.0,0,557,61.9,135,212,58,46,39,54,3,10,554,24.4,38.3,10.5,8.3,7.0,9.7,0.5,1.8,99.5,135,206,52,37,42,52,0,33,557,24.2,37.0,9.3,6.6,7.5,9.3,0.0,5.9,100.0,CDU
32002,41.0,0,894,61.9,145,338,61,160,95,64,7,24,887,16.3,38.1,6.9,18.0,10.7,7.2,0.8,2.7,99.2,123,314,86,136,76,87,1,71,893,13.8,35.2,9.6,15.2,8.5,9.7,0.1,8.0,99.9,CDU
35010,41.0,0,1118,61.9,232,457,117,108,105,76,7,16,1111,20.9,41.1,10.5,9.7,9.5,6.8,0.6,1.4,99.4,223,391,167,106,87,80,2,62,1116,20.0,35.0,15.0,9.5,7.8,7.2,0.2,5.6,99.8,CDU
36010,41.0,0,854,61.9,136,363,64,155,70,50,5,11,849,16.0,42.8,7.5,18.3,8.2,5.9,0.6,1.3,99.4,137,247,159,141,58,68,3,41,851,16.1,29.0,18.7,16.6,6.8,8.0,0.4,4.8,99.6,CDU
41001,42.0,0,824,61.9,106,303,65,210,62,66,12,0,812,13.1,37.3,8.0,25.9,7.6,8.1,1.5,0.0,98.5,100,306,56,168,58,86,4,46,820,12.2,37.3,6.8,20.5,7.1,10.5,0.5,5.6,99.5,CDU
41002,42.0,0,773,61.9,129,288,72,150,76,53,5,0,768,16.8,37.5,9.4,19.5,9.9,6.9,0.6,0.0,99.4,113,299,54,138,72,53,1,43,772,14.6,38.7,7.0,17.9,9.3,6.9,0.1,5.6,99.9,CDU
42001,42.0,0,966,61.9,111,334,83,271,78,76,13,0,953,11.6,35.0,8.7,28.4,8.2,8.0,1.3,0.0,98.7,102,299,83,244,73,95,1,69,965,10.6,31.0,8.6,25.3,7.6,9.8,0.1,7.2,99.9,CDU
42002,42.0,0,708,61.9,105,253,58,147,72,69,4,0,704,14.9,35.9,8.2,20.9,10.2,9.8,0.6,0.0,99.4,95,255,52,128,62,61,1,54,707,13.4,36.1,7.4,18.1,8.8,8.6,0.1,7.6,99.9,CDU
42003,42.0,0,992,61.9,141,344,92,209,105,92,9,0,983,14.3,35.0,9.4,21.3,10.7,9.4,0.9,0.0,99.1,128,361,83,178,87,91,9,55,983,13.0,36.7,8.4,18.1,8.9,9.3,0.9,5.6,99.1,CDU
43000,42.0,0,830,61.9,161,245,53,184,95,81,11,0,819,19.7,29.9,6.5,22.5,11.6,9.9,1.3,0.0,98.7,149,255,34,168,58,86,2,78,828,18.0,30.8,4.1,20.3,7.0,10.4,0.2,9.4,99.8,CDU
45010,41.0,0,928,61.9,224,378,60,106,79,52,9,20,919,24.4,41.1,6.5,11.5,8.6,5.7,1.0,2.2,99.0,198,361,75,101,71,64,2,56,926,21.4,39.0,8.1,10.9,7.7,6.9,0.2,6.0,99.8,CDU
46010,41.0,0,819,61.9,161,330,54,137,68,52,3,14,816,19.7,40.4,6.6,16.8,8.3,6.4,0.4,1.7,99.6,151,300,66,134,49,52,0,67,819,18.4,36.6,8.1,16.4,6.0,6.3,0.0,8.2,100.0,CDU
47010,41.0,0,662,61.9,163,262,53,80,44,39,8,13,654,24.9,40.1,8.1,12.2,6.7,6.0,1.2,2.0,98.8,159,227,56,80,46,36,1,57,661,24.1,34.3,8.5,12.1,7.0,5.4,0.2,8.6,99.8,CDU
51001,44.0,0,1024,61.9,134,388,62,223,103,104,3,7,1021,13.1,38.0,6.1,21.8,10.1,10.2,0.3,0.7,99.7,127,374,73,213,88,94,0,55,1024,12.4,36.5,7.1,20.8,8.6,9.2,0.0,5.4,100.0,CDU
51002,44.0,0,744,61.9,100,257,46,174,67,82,12,6,732,13.7,35.1,6.3,23.8,9.2,11.2,1.6,0.8,98.4,91,263,55,152,49,68,2,64,742,12.3,35.4,7.4,20.5,6.6,9.2,0.3,8.6,99.7,CDU
51003,44.0,0,818,61.9,111,232,42,233,113,78,5,4,813,13.7,28.5,5.2,28.7,13.9,9.6,0.6,0.5,99.4,97,242,36,219,86,80,1,57,817,11.9,29.6,4.4,26.8,10.5,9.8,0.1,7.0,99.9,CDU
52001,44.0,0,1051,61.9,86,331,32,375,109,106,7,5,1044,8.2,31.7,3.1,35.9,10.4,10.2,0.7,0.5,99.3,75,318,47,373,70,94,1,73,1050,7.1,30.3,4.5,35.5,6.7,9.0,0.1,7.0,99.9,GRÜNE
52002,44.0,0,959,61.9,82,292,41,306,125,93,11,9,948,8.6,30.8,4.3,32.3,13.2,9.8,1.1,0.9,98.9,78,288,41,277,96,104,5,70,954,8.2,30.2,4.3,29.0,10.1,10.9,0.5,7.3,99.5,CDU
52003,44.0,0,943,61.9,109,299,59,240,119,102,9,6,934,11.7,32.0,6.3,25.7,12.7,10.9,1.0,0.6,99.0,102,281,67,224,95,95,3,76,940,10.9,29.9,7.1,23.8,10.1,10.1,0.3,8.1,99.7,CDU
52004,44.0,0,885,61.9,144,252,42,216,110,101,8,12,877,16.4,28.7,4.8,24.6,12.5,11.5,0.9,1.4,99.1,118,248,53,209,88,98,1,70,884,13.3,28.1,6.0,23.6,10.0,11.1,0.1,7.9,99.9,CDU
53001,45.0,0,983,61.9,123,354,62,230,103,81,3,27,980,12.6,36.1,6.3,23.5,10.5,8.3,0.3,2.8,99.7,115,349,66,207,90,86,3,67,980,11.7,35.6,6.7,21.1,9.2,8.8,0.3,6.8,99.7,CDU
53002,45.0,0,894,61.9,151,240,46,204,146,67,10,30,884,17.1,27.1,5.2,23.1,16.5,7.6,1.1,3.4,98.9,136,279,49,160,102,84,2,82,892,15.2,31.3,5.5,17.9,11.4,9.4,0.2,9.2,99.8,CDU
53003,45.0,0,1108,61.9,195,295,78,224,174,109,8,25,1100,17.7,26.8,7.1,20.4,15.8,9.9,0.7,2.3,99.3,170,306,66,189,148,113,3,113,1105,15.4,27.7,6.0,17.1,13.4,10.2,0.3,10.2,99.7,CDU
54001,44.0,0,651,61.9,75,162,51,170,86,94,8,5,643,11.7,25.2,7.9,26.4,13.4,14.6,1.2,0.8,98.8,75,169,46,158,68,83,3,49,648,11.6,26.1,7.1,24.4,10.5,12.8,0.5,7.6,99.5,CDU
54002,44.0,0,832,61.9,121,230,46,190,140,91,7,7,825,14.7,27.9,5.6,23.0,17.0,11.0,0.8,0.8,99.2,113,229,44,181,96,81,4,84,828,13.6,27.7,5.3,21.9,11.6,9.8,0.5,10.1,99.5,CDU
54003,44.0,0,1049,61.9,194,337,70,168,123,134,11,12,1038,18.7,32.5,6.7,16.2,11.8,12.9,1.0,1.2,99.0,183,354,65,167,91,106,3,80,1046,17.5,33.8,6.2,16.0,8.7,10.1,0.3,7.6,99.7,CDU
54004,44.0,0,1085,61.9,178,333,64,233,142,115,6,14,1079,16.5,30.9,5.9,21.6,13.2,10.7,0.6,1.3,99.4,161,328,69,218,111,99,0,99,1085,14.8,30.2,6.4,20.1,10.2,9.1,0.0,9.1,100.0,CDU
55001,44.0,0,861,61.9,154,257,52,161,119,100,8,10,853,18.1,30.1,6.1,18.9,14.0,11.7,0.9,1.2,99.1,127,253,66,144,97,83,0,91,861,14.8,29.4,7.7,16.7,11.3,9.6,0.0,10.6,100.0,CDU
55002,44.0,0,590,61.9,133,183,34,55,105,69,3,8,587,22.7,31.2,5.8,9.4,17.9,11.8,0.5,1.4,99.5,118,197,31,45,98,49,0,52,590,20.0,33.4,5.3,7.6,16.6,8.3,0.0,8.8,100.0,CDU
