wb,Wahlkreis,Wahlberechtige,Wähler,Wahlbeteiligung,1_Stimmen AfD,1_Stimmen CDU,1_Stimmen FDP,1_Stimmen GRÜNE,1_Stimmen LINKE,1_Stimmen SPD,1_Stimmen Ungültige Stimmen,1_Stimmen andere Parteien,1_Stimmen gültige Stimmen,1_Anteil AfD,1_Anteil CDU,1_Anteil FDP,1_Anteil GRÜNE,1_Anteil LINKE,1_Anteil SPD,1_Anteil Ungültige Stimmen,1_Anteil andere Parteien,1_Anteil gültige Stimmen,2_Stimmen AfD,2_Stimmen CDU,2_Stimmen FDP,2_Stimmen GRÜNE,2_Stimmen LINKE,2_Stimmen SPD,2_Stimmen Ungültige Stimmen,2_Stimmen andere Parteien,2_Stimmen gültige Stimmen,2_Anteil AfD,2_Anteil CDU,2_Anteil FDP,2_Anteil GRÜNE,2_Anteil LINKE,2_Anteil SPD,2_Anteil Ungültige Stimmen,2_Anteil andere Parteien,2_Anteil gültige Stimmen,2_Gewinner
91400,47.0,972,428,44.0,130,126,21,33,70,25,5,18,423,30.7,29.8,5.0,7.8,16.5,5.9,1.2,4.3,98.8,115,118,30,30,55,20,6,54,422,27.3,28.0,7.1,7.1,13.0,4.7,1.4,12.8,98.6,CDU
91501,47.0,1354,576,42.5,163,158,29,86,69,34,7,30,569,28.6,27.8,5.1,15.1,12.1,6.0,1.2,5.3,98.8,155,137,33,79,63,39,2,68,574,27.0,23.9,5.7,13.8,11.0,6.8,0.3,11.8,99.7,AfD
91502,47.0,1310,502,38.3,138,113,32,98,51,34,5,31,497,27.8,22.7,6.4,19.7,10.3,6.8,1.0,6.2,99.0,128,92,31,86,60,40,3,62,499,25.7,18.4,6.2,17.2,12.0,8.0,0.6,12.4,99.4,AfD
92100,46.0,1993,647,32.5,110,138,29,174,118,72,6,0,641,17.2,21.5,4.5,27.1,18.4,11.2,0.9,0.0,99.1,104,111,21,170,97,49,3,92,644,16.1,17.2,3.3,26.4,15.1,7.6,0.5,14.3,99.5,GRÜNE
92200,46.0,1671,581,34.8,129,130,37,138,77,63,7,0,574,22.5,22.6,6.4,24.0,13.4,11.0,1.2,0.0,98.8,123,117,34,117,59,52,2,77,579,21.2,20.2,5.9,20.2,10.2,9.0,0.3,13.3,99.7,AfD
92300,46.0,1546,577,37.3,109,144,29,134,105,52,4,0,573,19.0,25.1,5.1,23.4,18.3,9.1,0.7,0.0,99.3,94,129,33,122,74,44,1,80,576,16.3,22.4,5.7,21.2,12.8,7.6,0.2,13.9,99.8,CDU
92400,46.0,859,405,47.1,102,87,29,72,64,46,5,0,400,25.5,21.8,7.2,18.0,16.0,11.5,1.2,0.0,98.8,86,78,18,78,47,30,3,65,402,21.4,19.4,4.5,19.4,11.7,7.5,0.7,16.2,99.3,AfD
92500,46.0,1290,556,43.1,112,143,29,119,89,60,4,0,552,20.3,25.9,5.3,21.6,16.1,10.9,0.7,0.0,99.3,93,115,29,116,70,55,4,74,552,16.8,20.8,5.3,21.0,12.7,10.0,0.7,13.4,99.3,GRÜNE
93101,46.0,1274,549,43.1,98,174,25,136,62,48,6,0,543,18.0,32.0,4.6,25.0,11.4,8.8,1.1,0.0,98.9,88,118,22,136,58,51,5,71,544,16.2,21.7,4.0,25.0,10.7,9.4,0.9,13.1,99.1,GRÜNE
93102,46.0,1169,513,43.9,99,114,33,130,71,63,3,0,510,19.4,22.4,6.5,25.5,13.9,12.4,0.6,0.0,99.4,94,90,22,132,58,42,2,73,511,18.4,17.6,4.3,25.8,11.4,8.2,0.4,14.3,99.6,GRÜNE
