Direktbeweber in den Wahlkreisen bei der Wahl zum 7. Sächsischen Landtag am 1. September 2019,,,,
,,,Elitenförderung und basisdemokratische,
,,,Initiative,"Kalusche, Siegfried Uwe"
10,25,-,Weil ich es kann,"Richter, Daniel"
11,1,CDU,Christlich Demokratische Union Deutschlands,"Dierks, Alexander"
11,2,DIE LINKE,DIE LINKE,"Schaper, Susanne"
11,3,SPD,Sozialdemokratische Partei Deutschlands,"Renz, Jürgen"
11,4,AfD,Alternative für Deutschland,"Dringenberg, Dr. Volker Götz"
11,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Kuhfuß, Kathleen"
11,7,FDP,Freie Demokratische Partei,"Tauscher, Daniel"
11,8,FREIE WÄHLER,FREIE WÄHLER,"Friese, Jens"
11,22,PRO CHEMNITZ,PRO CHEMNITZ,"Wenzel, Winfried Lothar"
12,1,CDU,Christlich Demokratische Union Deutschlands,"Saborowski, Ines"
12,2,DIE LINKE,DIE LINKE,"Detzner, Tim"
12,3,SPD,Sozialdemokratische Partei Deutschlands,"Vieweg, Jörg"
12,4,AfD,Alternative für Deutschland,"Wegert, Harald Steffen"
12,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Mäder, Susann"
12,7,FDP,Freie Demokratische Partei,"Bui, Dinh Hai"
12,8,FREIE WÄHLER,FREIE WÄHLER,"Eberlein, Jens Matthias"
12,22,PRO CHEMNITZ,PRO CHEMNITZ,"Kohlmann, Karl Martin"
13,1,CDU,Christlich Demokratische Union Deutschlands,"Anton, Rico"
13,2,DIE LINKE,DIE LINKE,"Schöniger, Susann"
13,3,SPD,Sozialdemokratische Partei Deutschlands,"Ebert, Susanne"
13,4,AfD,Alternative für Deutschland,"Dietz, Thomas"
13,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Reinhold, Heiko"
13,7,FDP,Freie Demokratische Partei,"Jakob, Colin"
13,8,FREIE WÄHLER,FREIE WÄHLER,"Gärtner, Udo"
14,1,CDU,Christlich Demokratische Union Deutschlands,"Dietrich, Eric"
14,2,DIE LINKE,DIE LINKE,"Gebhardt, Rico"
14,3,SPD,Sozialdemokratische Partei Deutschlands,"Müller, René"
14,4,AfD,Alternative für Deutschland,"Körner, Manfred"
14,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Kaettniß, Uwe Stieven"
14,7,FDP,Freie Demokratische Partei,"Schmidt, Volker"
14,8,FREIE WÄHLER,FREIE WÄHLER,"Görk, Otto Detlef"
15,1,CDU,Christlich Demokratische Union Deutschlands,"Haude, Falk"
15,2,DIE LINKE,DIE LINKE,"Zimmer, Holger"
15,3,SPD,Sozialdemokratische Partei Deutschlands,"Lang, Simone"
15,4,AfD,Alternative für Deutschland,"Thumm, Thomas"
15,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Kahl, Ulrike"
15,7,FDP,Freie Demokratische Partei,"Schmuck, Heiko"
15,8,FREIE WÄHLER,FREIE WÄHLER,"Zimmermann, Jens"
,,,Seite 2 von 9,
Direktbeweber in den Wahlkreisen bei der Wahl zum 7. Sächsischen Landtag am 1. September 2019,,,,
Wahl-,,,Wahlvorschlag,
,,,,Name
kreis,Nr.,Kurzbezeichnung,Langbezeichnung,
16,1,CDU,Christlich Demokratische Union Deutschlands,"Wähner, Ronny"
16,2,DIE LINKE,DIE LINKE,"Feiks, Antje"
16,3,SPD,Sozialdemokratische Partei Deutschlands,"Wittig, Sören"
16,4,AfD,Alternative für Deutschland,"Prantl, Thomas"
16,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Haustein, Nino"
