Alle Wahllokale mit Wahlgebäuden (Landtagswahl 2019),,,,,,
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Neustadt ,12302,41,Schule für Körperbehinderte,"01099, Dresden",Fischhausstr. 12,Barrierefrei
Neustadt ,12400,41,Kita EmaS,"01099, Dresden",Am Jägerpark 7,Barrierefrei
Neustadt ,13100,45,30. Oberschule,"01097, Dresden",Unterer Kreuzweg 4,Nicht barrierefrei
Neustadt ,13200,45,30. Oberschule,"01097, Dresden",Unterer Kreuzweg 4,Nicht barrierefrei
Neustadt ,13300,45,Stadtbezirksamt Neustadt,"01099, Dresden",Hoyerswerdaer Str. 3,Barrierefrei
Neustadt ,13400,45,Stadtbezirksamt Neustadt,"01099, Dresden",Hoyerswerdaer Str. 3,Barrierefrei
Neustadt ,14100,45,Bahnhof Dresden‐Neustadt,"01097, Dresden",Schlesischer Platz 1,Barrierefrei
Neustadt ,14200,45,Kindertagesstätte,"01097, Dresden",Johann‐Meyer‐Str. 23,Barrierefrei
Neustadt ,14300,45,Kita Neustädter Entdeckerhaus,"01097, Dresden",Johann‐Meyer‐Str. 21,Barrierefrei
Neustadt ,14401,45,30. Grundschule,"01097, Dresden",Hechtstr. 55,Barrierefrei
Neustadt ,14402,45,30. Grundschule,"01097, Dresden",Hechtstr. 55,Barrierefrei
Neustadt ,14500,45,30. Grundschule,"01097, Dresden",Hechtstr. 55,Barrierefrei
Neustadt ,14600,45,30. Grundschule,"01097, Dresden",Hechtstr. 55,Barrierefrei
Neustadt ,15100,41,30. Grundschule,"01097, Dresden",Hechtstr. 55,Barrierefrei
Neustadt ,15300,41,Freie Waldorfschule Dresden,"01099, Dresden",Marienallee 5,Nicht barrierefrei
Pieschen ,21100,47,8. Grundschule,"01127, Dresden",Konkordienstr. 12,Nicht barrierefrei
Pieschen ,21200,47,8. Grundschule,"01127, Dresden",Konkordienstr. 12,Nicht barrierefrei
Pieschen ,21301,47,Oberschule Dresden Pieschen,"01127, Dresden",Robert‐Matzke‐Str. 14,Nicht barrierefrei
Pieschen ,21302,47,8. Grundschule,"01127, Dresden",Konkordienstr. 12,Nicht barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
