;WK-Nr;WK-Name;AGS;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;FDP_1;GRÜNE_1;NPD_1;PIRATEN_1;BüSo_1;DSU_1;AfD_1;FREIE WÄHLER_1;Die PARTEI_1;Freie Bürger Leipzig_1;Konrad Skatula_1;Schaar_1;WAGNER_1;WV MFU_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;FDP_2;GRÜNE_2;NPD_2;Tierschutzpartei_2;PIRATEN_2;BüSo_2;DSU_2;AfD_2;pro Deutschland_2;FREIE WÄHLER_2;Die PARTEI_2
135;18;Mittelsachsen 1;14522090;1330;669;647;362;61;62;69;20;61;12.0;;;;;;;;;;;655;360;49;50;35;20;41;2;7;0;0;84;0;6;1
136;18;Mittelsachsen 1;14522110;3642;1899;1860;946;260;379;80;34;134;27.0;;;;;;;;;;;1871;944;252;229;74;38;106;15;19;2;1;153;5;27;6
137;18;Mittelsachsen 1;14522140;9477;4686;4590;2184;1083;529;182;166;327;119.0;;;;;;;;;;;4638;1904;974;499;174;123;189;40;39;5;4;609;10;45;23
138;18;Mittelsachsen 1;14522200;2156;1266;1213;670;234;126;51;18;91;23.0;;;;;;;;;;;1233;674;194;88;46;18;75;4;5;0;5;101;1;16;6
139;18;Mittelsachsen 1;14522320;2923;1576;1552;871;255;188;47;54;106;31.0;;;;;;;;;;;1558;794;235;168;53;50;90;10;10;1;4;124;5;11;3
140;18;Mittelsachsen 1;14522390;2163;1231;1203;613;215;105;121;44;92;13.0;;;;;;;;;;;1207;626;172;93;64;26;64;9;5;2;0;128;3;13;2
141;18;Mittelsachsen 1;14522400;2386;1236;1203;625;197;141;106;31;86;17.0;;;;;;;;;;;1211;594;170;123;91;25;65;10;5;0;0;110;0;18;0
142;18;Mittelsachsen 1;14522420;4154;2338;2289;1126;428;304;71;207;114;39.0;;;;;;;;;;;2314;1083;373;295;81;123;80;17;14;4;3;214;7;14;6
143;18;Mittelsachsen 1;14522440;6995;3626;3561;2000;673;320;113;99;260;96.0;;;;;;;;;;;3583;1637;631;331;131;101;204;29;30;3;8;373;5;84;16
144;18;Mittelsachsen 1;14522470;1726;1046;997;433;147;67;244;15;74;17.0;;;;;;;;;;;1027;512;134;77;98;15;47;8;9;0;1;101;4;18;3
145;18;Mittelsachsen 1;14522520;1629;936;911;472;164;95;73;24;60;23.0;;;;;;;;;;;920;460;133;90;61;18;39;9;7;1;1;88;3;8;2
146;19;Mittelsachsen 2;14522035;4830;2678;2610;1289;550;214;136;106;217;51.0;47.0;;;;;;;;;;2647;1242;410;225;102;93;160;15;19;8;4;303;5;52;9
147;19;Mittelsachsen 2;14522170;2473;1378;1339;657;254;131;86;52;112;32.0;15.0;;;;;;;;;;1358;638;176;143;70;41;76;20;12;3;2;144;4;24;5
148;19;Mittelsachsen 2;14522180;33200;16249;15967;6041;4430;1830;879;1289;924;322.0;252.0;;;;;;;;;;16106;6277;3284;2067;581;935;642;170;204;46;27;1494;37;171;171
149;19;Mittelsachsen 2;14522210;4764;2517;2453;1114;499;285;135;116;225;44.0;35.0;;;;;;;;;;2478;1125;346;278;101;100;168;29;16;4;5;259;4;26;17
150;19;Mittelsachsen 2;14522240;4346;2399;2354;1079;589;221;121;103;164;44.0;33.0;;;;;;;;;;2375;1112;454;198;96;83;115;18;23;9;3;220;4;27;13
151;19;Mittelsachsen 2;14522340;2253;1394;1364;643;301;130;93;63;91;25.0;18.0;;;;;;;;;;1379;656;231;123;66;52;62;7;10;6;0;119;2;42;3
152;19;Mittelsachsen 2;14522430;2790;1675;1639;729;373;202;116;79;80;23.0;37.0;;;;;;;;;;1647;746;275;181;88;67;72;16;8;8;2;126;4;47;7
153;19;Mittelsachsen 2;14522480;2406;1343;1306;618;263;158;62;63;88;28.0;26.0;;;;;;;;;;1310;615;202;119;53;61;57;14;17;5;0;145;1;17;4
154;19;Mittelsachsen 2;14522590;2118;1027;993;492;214;91;59;38;63;18.0;18.0;;;;;;;;;;1003;494;164;93;38;25;48;13;11;3;2;84;3;23;2
155;20;Mittelsachsen 3;14522010;1662;792;774;399;157;74;42;35;52;15.0;;;;;;;;;;;777;368;128;79;36;23;40;11;6;0;2;75;0;8;1
156;20;Mittelsachsen 3;14522120;2796;1510;1468;765;309;117;78;63;86;50.0;;;;;;;;;;;1475;731;256;143;63;38;68;8;15;1;2;127;2;14;7
157;20;Mittelsachsen 3;14522150;12434;5756;5651;3119;1156;462;177;258;340;139.0;;;;;;;;;;;5678;2479;1108;606;223;170;283;72;44;5;8;606;11;37;26
158;20;Mittelsachsen 3;14522230;7255;3439;3360;1723;735;380;126;113;211;72.0;;;;;;;;;;;3383;1566;614;433;137;93;152;38;17;4;3;268;7;40;11
159;20;Mittelsachsen 3;14522300;1933;1050;1021;477;229;105;48;45;81;36.0;;;;;;;;;;;1032;447;198;82;34;33;55;16;7;0;0;132;1;25;2
160;20;Mittelsachsen 3;14522330;6161;3535;3467;1755;716;410;145;179;192;70.0;;;;;;;;;;;3503;1630;587;391;135;109;137;33;29;6;2;364;9;65;6
161;20;Mittelsachsen 3;14522360;12592;6148;6022;2820;1550;654;234;259;360;145.0;;;;;;;;;;;6058;2698;1254;685;212;186;268;54;58;7;11;543;7;51;24
162;20;Mittelsachsen 3;14522500;2943;1623;1583;861;318;170;45;70;78;41.0;;;;;;;;;;;1594;784;273;166;55;51;58;15;16;5;0;140;2;24;5
163;20;Mittelsachsen 3;14522540;3996;2035;1979;1077;359;182;85;66;169;41.0;;;;;;;;;;;2008;967;310;193;82;49;131;25;17;1;4;186;4;33;6
164;21;Mittelsachsen 4;14522080;18397;8201;8068;3536;1665;1338;540;281;556;152.0;;;;;;;;;;;8107;3325;1670;1059;433;219;459;88;61;6;12;655;19;71;30
165;21;Mittelsachsen 4;14522220;2400;1226;1192;643;198;148;56;38;83;26.0;;;;;;;;;;;1208;572;191;119;73;41;65;7;9;1;0;107;1;18;4
166;21;Mittelsachsen 4;14522250;6371;2802;2745;1303;592;404;140;76;181;49.0;;;;;;;;;;;2747;1207;539;321;109;65;134;22;22;5;8;217;5;82;11
167;21;Mittelsachsen 4;14522310;7328;3508;3432;1554;774;488;171;101;232;112.0;;;;;;;;;;;3449;1452;712;411;155;97;198;36;34;2;5;292;8;35;12
168;21;Mittelsachsen 4;14522370;1943;971;949;449;185;108;56;30;107;14.0;;;;;;;;;;;957;441;167;82;36;21;80;14;4;1;0;92;2;13;4
169;21;Mittelsachsen 4;14522450;3174;1552;1518;719;347;158;80;48;140;26.0;;;;;;;;;;;1535;663;310;135;67;39;107;18;15;1;0;136;3;31;10
170;21;Mittelsachsen 4;14522510;6477;3052;2995;1359;655;483;120;105;220;53.0;;;;;;;;;;;3012;1334;579;377;104;91;189;42;15;4;3;221;7;28;18
171;21;Mittelsachsen 4;14522570;7737;3524;3429;1375;769;522;292;112;287;72.0;;;;;;;;;;;3449;1280;693;428;279;109;206;48;30;1;6;306;8;33;22
172;21;Mittelsachsen 4;14522620;1110;531;524;237;104;66;28;11;56;22.0;;;;;;;;;;;524;228;100;48;12;7;40;5;6;0;1;64;1;12;0
173;22;Mittelsachsen 5;14522060;9330;4666;4582;2265;868;634;236;209;254;78.0;38.0;;;;;;;;;;4608;2133;742;526;207;165;198;37;36;6;2;424;12;96;24
174;22;Mittelsachsen 5;14522070;2618;1390;1359;714;228;194;70;55;64;25.0;9.0;;;;;;;;;;1370;684;197;184;55;54;51;10;14;3;1;98;4;13;2
175;22;Mittelsachsen 5;14522190;3816;1786;1744;742;485;230;63;70;95;36.0;23.0;;;;;;;;;;1756;764;379;218;68;39;67;11;11;0;3;143;3;39;11
176;22;Mittelsachsen 5;14522260;3808;2103;2072;1104;330;283;79;99;114;35.0;28.0;;;;;;;;;;2083;1025;281;256;66;72;78;22;11;4;2;223;2;29;12
177;22;Mittelsachsen 5;14522280;1304;660;638;313;106;72;40;53;38;12.0;4.0;;;;;;;;;;651;313;96;71;33;25;38;7;4;1;0;57;2;1;3
178;22;Mittelsachsen 5;14522290;2240;1242;1209;702;180;142;53;45;56;20.0;11.0;;;;;;;;;;1220;673;159;125;43;27;50;13;8;1;1;104;0;11;5
179;22;Mittelsachsen 5;14522350;3869;1876;1836;830;290;414;53;79;131;24.0;15.0;;;;;;;;;;1851;853;297;264;49;59;105;19;12;3;2;159;2;19;8
180;22;Mittelsachsen 5;14522380;1776;766;756;343;154;108;30;47;59;9.0;6.0;;;;;;;;;;756;340;136;85;31;24;53;7;3;1;0;63;2;7;4
181;22;Mittelsachsen 5;14522460;7931;3885;3786;1700;812;625;204;144;203;56.0;42.0;;;;;;;;;;3820;1757;729;464;116;110;167;34;18;11;2;344;8;50;10
182;22;Mittelsachsen 5;14522490;5208;2770;2732;1016;746;420;165;140;157;50.0;38.0;;;;;;;;;;2752;1071;658;350;147;93;119;24;15;8;3;228;5;16;15
183;22;Mittelsachsen 5;14522530;1571;736;722;343;153;93;36;30;44;14.0;9.0;;;;;;;;;;727;328;131;73;31;22;29;7;6;2;1;85;1;7;4
184;22;Mittelsachsen 5;14522550;2081;882;855;510;118;104;30;18;55;14.0;6.0;;;;;;;;;;854;437;117;87;31;23;46;2;7;1;1;88;1;9;4
185;22;Mittelsachsen 5;14522580;1630;871;850;390;143;130;44;54;63;19.0;7.0;;;;;;;;;;856;390;132;112;34;31;46;12;4;0;1;68;2;22;2
186;22;Mittelsachsen 5;14522600;669;292;286;120;76;34;16;9;21;6.0;4.0;;;;;;;;;;289;120;60;29;14;7;15;4;3;0;4;28;0;3;2
187;23;Leipzig Land 1;14729050;16720;7026;6925;2544;1591;1416;127;125;358;55.0;;;709.0;;;;;;;;6944;2860;1477;1076;152;147;400;58;46;2;6;651;7;44;18
188;23;Leipzig Land 1;14729110;1895;828;817;366;175;106;32;44;25;10.0;;;59.0;;;;;;;;819;369;152;103;32;42;29;11;4;2;3;63;1;7;1
189;23;Leipzig Land 1;14729140;8707;4283;4196;1970;656;470;119;105;219;42.0;;;615.0;;;;;;;;4214;1981;648;442;134;106;246;31;31;1;7;519;10;39;19
190;23;Leipzig Land 1;14729150;4805;2435;2391;990;448;280;54;51;230;27.0;;;311.0;;;;;;;;2394;946;438;298;78;57;211;19;19;3;3;289;5;21;7
191;23;Leipzig Land 1;14729220;4329;1824;1796;728;435;294;53;40;104;14.0;;;128.0;;;;;;;;1795;728;429;241;48;31;125;19;11;1;0;127;1;28;6
192;23;Leipzig Land 1;14729230;2323;1270;1257;666;170;146;37;38;73;4.0;;;123.0;;;;;;;;1256;606;172;157;49;46;70;6;5;1;1;129;0;11;3
193;23;Leipzig Land 1;14729290;1417;751;733;358;130;82;19;19;48;4.0;;;73.0;;;;;;;;739;342;130;89;27;14;43;4;2;1;1;77;1;2;6
194;23;Leipzig Land 1;14729320;5958;2781;2714;1122;525;453;128;56;154;22.0;;;254.0;;;;;;;;2726;1190;521;391;94;66;166;26;17;2;0;226;6;17;4
195;23;Leipzig Land 1;14729360;3379;1299;1270;471;278;236;67;26;69;9.0;;;114.0;;;;;;;;1274;516;266;192;58;25;80;15;8;1;1;99;1;9;3
196;23;Leipzig Land 1;14729370;3085;1369;1348;552;330;208;35;44;24;12.0;;;143.0;;;;;;;;1354;562;294;188;56;44;30;11;7;1;3;141;0;11;6
197;24;Leipzig Land 2;14729040;5542;2130;2106;686;519;501;77;54;76;26.0;14.0;;153.0;;;;;;;;2107;764;532;335;74;66;93;33;22;5;2;165;4;5;7
198;24;Leipzig Land 2;14729100;1043;478;464;187;74;90;14;23;9;10.0;2.0;;55.0;;;;;;;;468;204;76;61;21;21;13;5;6;0;0;55;1;4;1
199;24;Leipzig Land 2;14729170;6501;3031;2983;1279;465;640;100;131;111;28.0;14.0;;215.0;;;;;;;;2984;1379;474;421;125;139;145;29;22;11;5;204;5;20;5
200;24;Leipzig Land 2;14729260;19878;10445;10370;3851;1680;2706;451;754;183;103.0;66.0;;576.0;;;;;;;;10374;4011;1686;1940;553;888;235;134;82;39;16;660;13;73;44
201;24;Leipzig Land 2;14729270;12803;5670;5598;2249;1044;1261;145;228;172;57.0;24.0;;418.0;;;;;;;;5608;2435;1002;853;193;240;199;60;42;6;8;394;9;161;6
202;24;Leipzig Land 2;14729350;5416;2508;2472;1007;408;576;89;91;95;23.0;12.0;;171.0;;;;;;;;2474;1124;423;379;90;96;107;23;16;2;5;163;9;28;9
203;24;Leipzig Land 2;14729430;7512;3613;3546;1501;577;811;107;119;112;36.0;14.0;;269.0;;;;;;;;3560;1639;579;526;116;130;127;46;23;4;9;298;2;45;16
204;25;Leipzig Land 3;14729010;6991;3408;3358;1496;690;347;97;103;127;35.0;;;463.0;;;;;;;;3375;1578;578;326;106;107;136;39;24;4;4;419;1;31;22
205;25;Leipzig Land 3;14729020;2712;1243;1212;534;213;145;37;47;60;15.0;;;161.0;;;;;;;;1219;505;191;144;46;50;59;19;7;2;4;160;2;30;0
206;25;Leipzig Land 3;14729080;7530;3362;3292;1454;663;348;168;97;129;35.0;;;398.0;;;;;;;;3300;1528;527;367;163;99;162;29;28;4;3;337;5;38;10
207;25;Leipzig Land 3;14729160;24082;10681;10482;4365;2292;1119;513;385;473;101.0;;;1234.0;;;;;;;;10534;4695;1832;1160;372;391;550;119;78;12;7;1163;17;115;23
208;25;Leipzig Land 3;14729190;4470;2447;2410;956;461;407;93;154;60;34.0;;;245.0;;;;;;;;2420;928;396;421;125;146;67;37;17;3;6;227;6;27;14
209;25;Leipzig Land 3;14729300;7176;3836;3792;1573;702;458;184;229;133;47.0;;;466.0;;;;;;;;3800;1603;595;489;196;228;142;45;42;6;6;388;6;39;15
210;25;Leipzig Land 3;14729330;1169;520;510;211;85;83;27;17;16;5.0;;;66.0;;;;;;;;512;231;77;64;17;14;20;5;4;1;0;62;0;12;5
211;25;Leipzig Land 3;14729340;2935;1462;1440;629;247;149;97;39;88;13.0;;;178.0;;;;;;;;1445;657;248;151;60;40;92;11;10;1;2;148;3;12;10
212;26;Leipzig Land 4;14729030;4228;2234;2202;989;488;214;46;136;84;36.0;;;209.0;;;;;;;;2200;969;470;219;61;102;86;30;28;2;2;205;8;14;4
213;26;Leipzig Land 4;14729060;6820;3686;3581;1665;594;522;107;221;111;54.0;;;307.0;;;;;;;;3604;1583;572;477;144;189;121;57;33;5;6;308;2;89;18
214;26;Leipzig Land 4;14729070;7852;3498;3464;1350;704;634;101;228;123;39.0;;;285.0;;;;;;;;3473;1430;663;494;123;205;146;46;32;9;6;279;3;26;11
215;26;Leipzig Land 4;14729245;5252;2592;2552;1318;460;218;68;120;103;25.0;;;240.0;;;;;;;;2557;1209;444;257;99;110;117;21;19;2;8;228;2;30;11
216;26;Leipzig Land 4;14729250;5487;3018;2935;1245;564;394;114;187;106;40.0;;;285.0;;;;;;;;2939;1260;521;354;127;171;98;51;27;1;2;262;6;52;7
217;26;Leipzig Land 4;14729380;3049;1564;1530;801;252;139;36;61;110;11.0;;;120.0;;;;;;;;1537;760;251;138;37;51;127;17;7;1;3;108;5;28;4
218;26;Leipzig Land 4;14729400;3304;1564;1536;702;295;145;30;70;139;16.0;;;139.0;;;;;;;;1539;724;272;143;29;58;116;25;14;0;0;128;1;24;5
219;26;Leipzig Land 4;14729410;14009;5997;5893;2804;997;648;148;309;361;61.0;;;565.0;;;;;;;;5903;2672;1006;687;174;198;371;82;47;7;9;533;17;70;30
220;34;Nordsachsen 1;14730070;21302;8251;8100;3705;2092;1104;230;292;539;138.0;;;;;;;;;;;8145;3467;1725;1045;239;274;385;88;79;6;9;554;21;225;28
221;34;Nordsachsen 1;14730150;3132;1652;1617;894;300;190;59;45;101;28.0;;;;;;;;;;;1627;838;243;178;57;45;64;22;15;2;3;139;6;10;5
222;34;Nordsachsen 1;14730180;1758;859;815;381;177;139;23;28;53;14.0;;;;;;;;;;;835;434;133;113;16;19;25;9;8;1;0;66;4;3;4
223;34;Nordsachsen 1;14730250;3943;1649;1622;777;330;252;36;68;115;44.0;;;;;;;;;;;1626;722;284;218;37;63;88;18;19;1;1;145;10;14;6
224;34;Nordsachsen 1;14730270;14508;5539;5438;2332;1363;906;185;285;266;101.0;;;;;;;;;;;5471;2159;1151;736;215;251;194;69;39;6;8;494;11;119;19
225;34;Nordsachsen 1;14730280;2056;929;905;501;164;114;32;32;56;6.0;;;;;;;;;;;906;454;153;110;25;29;37;10;1;0;0;72;2;9;4
226;34;Nordsachsen 1;14730340;4349;1767;1733;893;399;229;52;42;83;35.0;;;;;;;;;;;1746;850;323;202;49;42;65;13;18;2;2;146;6;21;7
227;35;Nordsachsen 2;14730020;6668;2754;2711;1234;692;365;97;132;115;50.0;;;;;;;;;26.0;;2708;1213;594;300;91;130;110;22;23;4;4;166;5;40;6
228;35;Nordsachsen 2;14730080;3524;1881;1836;866;398;245;73;62;97;34.0;;;;;;;;;61.0;;1847;849;371;214;65;48;72;17;19;1;7;148;5;20;11
229;35;Nordsachsen 2;14730090;2230;959;943;419;218;120;85;29;58;5.0;;;;;;;;;9.0;;947;446;195;96;36;25;53;5;3;0;2;71;1;12;2
230;35;Nordsachsen 2;14730110;13052;5151;5041;2047;1297;784;161;201;392;93.0;;;;;;;;;66.0;;5063;2091;1144;650;136;150;306;58;53;5;7;373;9;65;16
231;35;Nordsachsen 2;14730120;1251;541;528;232;115;52;73;12;36;6.0;;;;;;;;;2.0;;526;237;92;59;37;13;31;2;4;0;1;44;1;3;2
232;35;Nordsachsen 2;14730140;2513;1351;1321;618;255;209;33;70;78;32.0;;;;;;;;;26.0;;1334;611;231;158;37;54;50;25;19;1;2;129;3;11;3
233;35;Nordsachsen 2;14730160;3271;2035;1919;984;321;235;72;46;183;53.0;;;;;;;;;25.0;;1939;959;296;209;85;40;165;17;21;2;1;119;4;17;4
234;35;Nordsachsen 2;14730190;4237;1928;1865;924;355;237;95;49;143;27.0;;;;;;;;;35.0;;1886;890;288;207;77;38;120;15;13;0;1;193;4;36;4
235;35;Nordsachsen 2;14730300;12292;5691;5601;2443;1066;1063;237;395;284;72.0;;;;;;;;;41.0;;5634;2418;939;854;211;315;195;47;46;7;16;528;10;34;14
236;35;Nordsachsen 2;14730320;1141;552;526;248;117;55;29;20;42;10.0;;;;;;;;;5.0;;537;235;107;51;13;17;48;3;7;0;2;42;0;11;1
237;35;Nordsachsen 2;14730360;2431;1091;1074;510;188;154;34;79;72;17.0;;;;;;;;;20.0;;1073;493;164;122;36;66;61;17;8;0;1;87;1;13;4
238;36;Nordsachsen 3;14730010;1699;491;478;216;119;33;14;13;25;8.0;;;50.0;;;;;;;;477;186;118;41;22;16;25;6;0;0;2;52;2;6;1
239;36;Nordsachsen 3;14730030;3622;1605;1576;834;306;167;41;32;59;19.0;;;118.0;;;;;;;;1582;779;303;169;60;32;69;6;12;0;2;138;3;5;4
240;36;Nordsachsen 3;14730045;6671;2721;2674;1418;446;242;66;97;169;31.0;;;205.0;;;;;;;;2674;1293;451;261;87;88;195;27;19;2;2;202;4;35;8
241;36;Nordsachsen 3;14730050;1926;1092;1067;542;156;103;39;30;95;13.0;;;89.0;;;;;;;;1068;499;156;106;52;26;82;14;13;0;1;108;0;7;4
242;36;Nordsachsen 3;14730060;3736;1802;1768;824;350;228;42;76;77;18.0;;;153.0;;;;;;;;1769;809;342;190;64;65;90;10;12;1;1;149;3;25;8
243;36;Nordsachsen 3;14730100;1806;831;822;472;113;73;25;21;39;7.0;;;72.0;;;;;;;;824;405;121;80;44;24;52;8;1;0;1;78;1;8;1
244;36;Nordsachsen 3;14730170;2632;1501;1471;762;159;136;34;37;246;12.0;;;85.0;;;;;;;;1471;745;158;141;47;38;213;9;6;0;2;97;2;8;5
245;36;Nordsachsen 3;14730200;5270;2596;2545;958;352;769;45;79;161;17.0;;;164.0;;;;;;;;2544;1075;396;391;83;82;194;20;27;5;6;226;2;34;3
246;36;Nordsachsen 3;14730210;1992;1083;1066;529;159;150;43;44;60;7.0;;;74.0;;;;;;;;1062;484;177;108;54;31;68;13;9;1;1;90;2;21;3
247;36;Nordsachsen 3;14730230;12717;5633;5544;2497;1111;671;130;205;415;54.0;;;461.0;;;;;;;;5556;2284;1162;599;176;215;428;51;39;3;7;510;8;51;23
248;36;Nordsachsen 3;14730310;16709;6596;6470;2915;1548;731;117;223;334;81.0;;;521.0;;;;;;;;6486;2634;1459;776;231;217;367;72;54;7;6;519;11;95;38
249;36;Nordsachsen 3;14730330;4480;2263;2225;949;390;320;37;120;143;17.0;;;249.0;;;;;;;;2224;905;416;255;67;92;150;27;22;2;2;248;7;19;12
250;37;Meißen 1;14627020;2861;1562;1524;599;275;149;62;77;85;17.0;27.0;;233.0;;;;;;;;1535;591;239;154;75;69;84;11;17;16;4;233;16;23;3
251;37;Meißen 1;14627070;1759;867;841;368;158;56;33;69;44;16.0;4.0;;93.0;;;;;;;;839;369;142;66;39;35;56;11;10;1;0;87;2;15;6
252;37;Meißen 1;14627080;2283;1137;1116;463;222;104;42;69;71;16.0;3.0;;126.0;;;;;;;;1121;441;197;107;52;60;62;13;15;1;1;135;18;14;5
253;37;Meißen 1;14627130;4428;2238;2181;985;401;219;153;65;108;18.0;10.0;;222.0;;;;;;;;2195;967;340;224;165;63;95;17;17;0;1;215;15;68;8
254;37;Meißen 1;14627230;27338;13102;12687;4651;3835;1091;465;581;731;166.0;69.0;;1098.0;;;;;;;;12668;4806;3053;1361;456;389;798;133;115;106;15;1180;37;167;52
255;37;Meißen 1;14627260;2663;1243;1219;531;275;110;66;31;70;23.0;8.0;;105.0;;;;;;;;1224;544;228;116;61;30;74;9;11;3;1;115;3;25;4
256;37;Meißen 1;14627270;3201;1880;1851;726;453;188;83;84;124;21.0;3.0;;169.0;;;;;;;;1850;740;349;225;88;59;134;23;13;2;1;179;3;33;1
257;37;Meißen 1;14627360;4921;2465;2420;971;593;246;112;65;153;19.0;9.0;;252.0;;;;;;;;2430;993;476;256;107;46;169;23;8;8;5;292;5;33;9
258;38;Meißen 2;14627030;3707;2420;2378;1170;338;180;111;61;132;28.0;16.0;;303.0;39.0;;;;;;;2385;1135;264;226;134;74;144;21;23;7;6;313;3;31;4
259;38;Meißen 2;14627040;1710;732;719;289;129;86;23;16;53;9.0;6.0;;102.0;6.0;;;;;;;721;290;107;86;25;12;65;10;5;3;1;110;0;4;3
260;38;Meißen 2;14627050;6382;2672;2618;1001;553;448;55;63;179;26.0;13.0;;225.0;55.0;;;;;;;2619;1051;521;344;72;67;194;28;21;9;4;242;6;50;10
261;38;Meißen 2;14627060;15779;7784;7639;2694;1959;610;247;216;514;84.0;106.0;;1105.0;104.0;;;;;;;7649;2777;1420;784;320;243;571;100;64;48;27;1155;26;85;29
262;38;Meißen 2;14627110;2238;1186;1140;497;196;86;35;19;116;18.0;6.0;;151.0;16.0;;;;;;;1160;527;156;93;36;18;120;9;11;2;5;167;3;12;1
263;38;Meißen 2;14627190;4894;2877;2827;1165;615;348;77;74;144;41.0;16.0;;312.0;35.0;;;;;;;2834;1180;550;365;86;67;163;28;30;6;9;300;6;31;13
264;38;Meißen 2;14627200;2624;1339;1316;605;239;99;48;31;93;13.0;3.0;;165.0;20.0;;;;;;;1322;584;195;114;60;36;95;19;8;1;4;176;4;21;5
265;38;Meißen 2;14627220;6196;3343;3276;1511;533;378;123;149;157;42.0;16.0;;304.0;63.0;;;;;;;3290;1536;440;448;133;109;184;28;26;11;20;303;3;38;11
266;38;Meißen 2;14627240;2404;1423;1385;620;294;164;36;34;85;12.0;1.0;;125.0;14.0;;;;;;;1388;656;244;153;45;27;83;15;13;1;1;126;2;17;5
267;38;Meißen 2;14627250;1575;1276;1243;569;200;94;50;31;81;32.0;3.0;;162.0;21.0;;;;;;;1250;552;153;111;58;26;79;8;26;1;52;158;3;19;4
268;38;Meißen 2;14627280;1197;686;671;286;105;52;32;21;55;17.0;2.0;;92.0;9.0;;;;;;;674;280;88;59;51;22;51;6;12;3;2;85;2;6;7
269;38;Meißen 2;14627290;1849;1275;1208;535;189;82;33;31;121;42.0;8.0;;145.0;22.0;;;;;;;1207;562;159;99;30;25;129;9;15;5;13;134;3;19;5
270;38;Meißen 2;14627340;1430;615;604;252;104;69;23;15;42;7.0;4.0;;82.0;6.0;;;;;;;605;253;99;68;19;18;48;9;7;3;0;68;5;4;4
271;39;Meißen 3;14627100;8351;4541;4465;1854;724;429;229;298;236;63.0;76.0;25.0;531.0;;;;;;;;4483;1843;650;451;210;284;263;55;43;24;10;548;13;64;25
272;39;Meißen 3;14627140;23087;10093;9912;3462;2042;1196;873;494;444;162.0;76.0;39.0;1124.0;;;;;;;;9962;3599;1833;1314;517;487;476;131;128;31;22;1167;96;117;44
273;39;Meißen 3;14627170;3275;1534;1497;618;240;191;73;49;74;17.0;10.0;11.0;214.0;;;;;;;;1504;580;219;199;62;61;75;19;13;3;1;225;5;37;5
274;39;Meißen 3;14627180;9028;4271;4179;1895;737;412;180;209;210;46.0;22.0;54.0;414.0;;;;;;;;4192;1867;652;433;185;183;227;50;36;12;26;439;18;51;13
275;39;Meißen 3;14627310;8407;4876;4799;1963;827;574;212;230;225;55.0;52.0;15.0;646.0;;;;;;;;4814;1945;714;611;187;222;245;65;43;25;9;637;17;69;25
276;40;Meißen 4;14627010;17438;8885;8740;2905;1311;1463;218;350;389;120.0;29.0;42.0;1003.0;910.0;;;;;;;8751;3247;1541;1018;303;440;458;87;73;20;36;1131;31;327;39
277;40;Meißen 4;14627150;6708;4145;4099;1453;388;1250;109;133;146;33.0;13.0;15.0;471.0;88.0;;;;;;;4109;1642;485;791;160;202;159;36;42;5;16;467;9;70;25
278;40;Meißen 4;14627210;27217;16011;15841;5751;1933;3300;655;1363;422;172.0;82.0;51.0;1439.0;673.0;;;;;;;15856;6228;2181;2149;812;1451;513;181;182;68;27;1472;17;471;104
279;48;Sächsische Schweiz-Osterzgebirge 1;14628090;909;551;535;284;70;44;15;19;24;3.0;0.0;;57.0;19.0;;;;;;;538;254;77;50;24;19;27;4;1;0;0;66;0;12;4
280;48;Sächsische Schweiz-Osterzgebirge 1;14628110;32764;15972;15743;7085;2639;1588;419;714;706;169.0;80.0;;1703.0;640.0;;;;;;;15785;6526;2550;1868;585;701;888;181;131;49;20;1742;34;440;70
281;48;Sächsische Schweiz-Osterzgebirge 1;14628400;4379;2633;2603;1051;393;286;73;184;80;27.0;10.0;;344.0;155.0;;;;;;;2609;1016;361;276;119;186;110;29;25;7;3;333;4;119;21
282;48;Sächsische Schweiz-Osterzgebirge 1;14628410;11284;6283;6173;2872;967;617;184;261;316;44.0;10.0;;735.0;167.0;;;;;;;6181;2770;862;586;253;254;398;54;42;14;12;754;13;143;26
283;49;Sächsische Schweiz-Osterzgebirge 2;14628010;6828;4096;4030;1986;655;298;155;104;292;42.0;;;498.0;;;;;;;;4044;1764;571;325;168;84;301;49;39;8;0;453;13;259;10
284;49;Sächsische Schweiz-Osterzgebirge 2;14628050;8711;5276;5187;2248;865;611;199;362;220;72.0;;;610.0;;;;;;;;5214;2213;808;596;255;294;251;62;41;13;6;542;13;98;22
285;49;Sächsische Schweiz-Osterzgebirge 2;14628060;12152;6436;6325;2878;1163;542;252;234;424;66.0;;;766.0;;;;;;;;6345;2700;1007;634;239;229;430;70;39;5;7;698;11;256;20
286;49;Sächsische Schweiz-Osterzgebirge 2;14628130;5741;2834;2758;1305;350;229;101;112;175;31.0;;;455.0;;;;;;;;2768;1219;338;225;109;104;185;34;22;5;6;398;9;103;11
287;49;Sächsische Schweiz-Osterzgebirge 2;14628150;930;504;480;234;68;40;21;16;39;3.0;;;59.0;;;;;;;;488;221;66;43;21;14;33;4;0;2;1;65;1;17;0
