;A
75;"11;7;FDP;Freie;Demokratische;Partei;Tauscher,;Daniel"
76;"11;8;FREIE;WÄHLER;FREIE;WÄHLER;Friese,;Jens"
77;"11;22;PRO;CHEMNITZ;PRO;CHEMNITZ;Wenzel,;Winfried;Lothar"
78;"12;1;CDU;Christlich;Demokratische;Union;Deutschlands;Saborowski,;Ines"
79;"12;2;DIE;LINKE;DIE;LINKE;Detzner,;Tim"
80;"12;3;SPD;Sozialdemokratische;Partei;Deutschlands;Vieweg,;Jörg"
81;"12;4;AfD;Alternative;für;Deutschland;Wegert,;Harald;Steffen"
82;"12;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Mäder,;Susann"
83;"12;7;FDP;Freie;Demokratische;Partei;Bui,;Dinh;Hai"
84;"12;8;FREIE;WÄHLER;FREIE;WÄHLER;Eberlein,;Jens;Matthias"
85;"12;22;PRO;CHEMNITZ;PRO;CHEMNITZ;Kohlmann,;Karl;Martin"
86;"13;1;CDU;Christlich;Demokratische;Union;Deutschlands;Anton,;Rico"
87;"13;2;DIE;LINKE;DIE;LINKE;Schöniger,;Susann"
88;"13;3;SPD;Sozialdemokratische;Partei;Deutschlands;Ebert,;Susanne"
89;"13;4;AfD;Alternative;für;Deutschland;Dietz,;Thomas"
90;"13;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Reinhold,;Heiko"
91;"13;7;FDP;Freie;Demokratische;Partei;Jakob,;Colin"
92;"13;8;FREIE;WÄHLER;FREIE;WÄHLER;Gärtner,;Udo"
93;"14;1;CDU;Christlich;Demokratische;Union;Deutschlands;Dietrich,;Eric"
94;"14;2;DIE;LINKE;DIE;LINKE;Gebhardt,;Rico"
95;"14;3;SPD;Sozialdemokratische;Partei;Deutschlands;Müller,;René"
96;"14;4;AfD;Alternative;für;Deutschland;Körner,;Manfred"
97;"14;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Kaettniß,;Uwe;Stieven"
98;"14;7;FDP;Freie;Demokratische;Partei;Schmidt,;Volker"
99;"14;8;FREIE;WÄHLER;FREIE;WÄHLER;Görk,;Otto;Detlef"
100;"15;1;CDU;Christlich;Demokratische;Union;Deutschlands;Haude,;Falk"
101;"15;2;DIE;LINKE;DIE;LINKE;Zimmer,;Holger"
102;"15;3;SPD;Sozialdemokratische;Partei;Deutschlands;Lang,;Simone"
103;"15;4;AfD;Alternative;für;Deutschland;Thumm,;Thomas"
104;"15;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Kahl,;Ulrike"
105;"15;7;FDP;Freie;Demokratische;Partei;Schmuck,;Heiko"
106;"15;8;FREIE;WÄHLER;FREIE;WÄHLER;Zimmermann,;Jens"
107;"16;1;CDU;Christlich;Demokratische;Union;Deutschlands;Wähner,;Ronny"
108;"16;2;DIE;LINKE;DIE;LINKE;Feiks,;Antje"
109;"16;3;SPD;Sozialdemokratische;Partei;Deutschlands;Wittig,;Sören"
110;"16;4;AfD;Alternative;für;Deutschland;Prantl,;Thomas"
111;"16;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Haustein,;Nino"
112;"16;7;FDP;Freie;Demokratische;Partei;Wohlgemuth,;Enrico"
113;"16;8;FREIE;WÄHLER;FREIE;WÄHLER;Großmann,;Beate"
114;"17;1;CDU;Christlich;Demokratische;Union;Deutschlands;Markert,;Jörg"
115;"17;2;DIE;LINKE;DIE;LINKE;Noack,;Kathleen"
116;"17;3;SPD;Sozialdemokratische;Partei;Deutschlands;Ringeis,;Richard"
117;"17;4;AfD;Alternative;für;Deutschland;Gahler,;Torsten"
118;"17;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Meister,;Kay"
119;"17;7;FDP;Freie;Demokratische;Partei;Günther,;Tino"
120;"17;8;FREIE;WÄHLER;FREIE;WÄHLER;Schwan,;Marc"
121;"18;1;CDU;Christlich;Demokratische;Union;Deutschlands;Leithoff,;Susan"
122;"18;2;DIE;LINKE;DIE;LINKE;Christoph,;Toni;Dietmar"
123;"18;3;SPD;Sozialdemokratische;Partei;Deutschlands;Wyschkon,;Sylvio"
124;"18;4;AfD;Alternative;für;Deutschland;Penz,;Romy"
125;"18;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Walter,;Sebastian"
126;"18;7;FDP;Freie;Demokratische;Partei;Helfen,;Werner"
127;"18;8;FREIE;WÄHLER;FREIE;WÄHLER;Büttner,;Klaus"
128;"19;1;CDU;Christlich;Demokratische;Union;Deutschlands;Ittershagen,;Steve"
129;"19;2;DIE;LINKE;DIE;LINKE;Pinka,;Dr.;Jana"
130;"19;3;SPD;Sozialdemokratische;Partei;Deutschlands;Geißler,;Alexander"
131;"19;4;AfD;Alternative;für;Deutschland;Weigand,;Dr.;Rolf"
132;"19;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Scholz,;Markus"
133;"19;7;FDP;Freie;Demokratische;Partei;Karabinski,;Benjamin"
134;"19;8;FREIE;WÄHLER;FREIE;WÄHLER;Gustmann,;Holger"
135;"20;1;CDU;Christlich;Demokratische;Union;Deutschlands;Firmenich,;Iris"
136;"20;2;DIE;LINKE;DIE;LINKE;Fechner,;Eyk"
137;"20;3;SPD;Sozialdemokratische;Partei;Deutschlands;Mende,;Oliver"
138;"20;4;AfD;Alternative;für;Deutschland;Zielinski,;Holger"
139;"20;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Sauer,;Renate"
140;"20;7;FDP;Freie;Demokratische;Partei;Hartewig,;Philipp"
141;"20;8;FREIE;WÄHLER;FREIE;WÄHLER;Walter-Bretschneider,;Rico"
142;"21;1;CDU;Christlich;Demokratische;Union;Deutschlands;Dr.;Lehle,;Rudolf"
143;"21;2;DIE;LINKE;DIE;LINKE;Tändler-Walenta,;Marika"
144;"21;3;SPD;Sozialdemokratische;Partei;Deutschlands;Homann,;Henning"
145;"21;4;AfD;Alternative;für;Deutschland;Kuppi,;Lars"
146;"21;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Anderfuhren,;Maria-Christin"
147;"21;7;FDP;Freie;Demokratische;Partei;Cyrnik,;Constanze"
148;"21;8;FREIE;WÄHLER;FREIE;WÄHLER;Weißflog,;Sven"
149;"22;1;CDU;Christlich;Demokratische;Union;Deutschlands;Schmidt,;Thomas"
150;"22;2;DIE;LINKE;DIE;LINKE;Sobolewski,;Robert"
151;"22;3;SPD;Sozialdemokratische;Partei;Deutschlands;Sarfert,;Steve"
152;"22;4;AfD;Alternative;für;Deutschland;Wesemann,;Christian"
153;"22;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Günther,;Wolfram"
154;"22;7;FDP;Freie;Demokratische;Partei;Becker,;Miro"
155;"22;8;FREIE;WÄHLER;FREIE;WÄHLER;Stein,;Dr.;Mario"
156;"23;1;CDU;Christlich;Demokratische;Union;Deutschlands;von;Breitenbuch,;Georg-Ludwig"
157;"23;2;DIE;LINKE;DIE;LINKE;Stange,;Enrico"
158;"23;3;SPD;Sozialdemokratische;Partei;Deutschlands;Urban,;Oliver"
159;"23;4;AfD;Alternative;für;Deutschland;May,;Frank"
160;"23;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Lippold,;Dr.;Gerd"
161;"23;7;FDP;Freie;Demokratische;Partei;Görnitz,;Stefan"
162;"23;8;FREIE;WÄHLER;FREIE;WÄHLER;Noack,;Falk"
163;"24;1;CDU;Christlich;Demokratische;Union;Deutschlands;Fritzsche,;Oliver"
164;"24;2;DIE;LINKE;DIE;LINKE;Jalaß,;René"
165;"24;3;SPD;Sozialdemokratische;Partei;Deutschlands;Köpping,;Petra"
