;AGS;Wahlberechtigte_EW2019;Wähler_EW2019;gültige_EW2019;CDU_EW2019;DIE LINKE_EW2019;SPD_EW2019;AfD_EW2019;GRÜNE_EW2019;FDP_EW2019;FREIE WÄHLER_EW2019;Wahlberechtigte_BW2017;Wähler_BW2017;gültige_2_BW2017;CDU_2_BW2017;DIE LINKE_2_BW2017;SPD_2_BW2017;AfD_2_BW2017;GRÜNE_2_BW2017;FDP_2_BW2017;FREIE WÄHLER_2_BW2017;WK-Nr_LW2014;WK-Name_LW2014;Wahlberechtigte_LW2014;Wähler_LW2014;gültige_1_LW2014;CDU_1_LW2014;DIE LINKE_1_LW2014;SPD_1_LW2014;FDP_1_LW2014;GRÜNE_1_LW2014;NPD_1_LW2014;PIRATEN_1_LW2014;BüSo_1_LW2014;DSU_1_LW2014;AfD_1_LW2014;FREIE WÄHLER_1_LW2014;Die PARTEI_1_LW2014;Freie Bürger Leipzig_1_LW2014;Konrad Skatula_1_LW2014;Schaar_1_LW2014;WAGNER_1_LW2014;WV MFU_1_LW2014;gültige_2_LW2014;CDU_2_LW2014;DIE LINKE_2_LW2014;SPD_2_LW2014;FDP_2_LW2014;GRÜNE_2_LW2014;NPD_2_LW2014;Tierschutzpartei_2_LW2014;PIRATEN_2_LW2014;BüSo_2_LW2014;DSU_2_LW2014;AfD_2_LW2014;pro Deutschland_2_LW2014;FREIE WÄHLER_2_LW2014;Die PARTEI_2_LW2014
233;14625580;1352;858;818;220;61;47;235;46;79;33;1358;955;941;259;132;85;299;23;94;11;53;Bautzen 2;1391;728;709;321;145;79;46;31;42;13;0;0;0;24;0;0;8;0;0;0;714;310;115;70;43;26;37;1;7;1;1;87;1;12;3
234;14625590;2391;1491;1431;360;108;84;542;64;56;53;2462;1722;1686;415;201;142;621;38;146;33;52;Bautzen 1;2541;1294;1270;606;174;162;45;31;183;20;0;0;0;49;0;0;0;0;0;0;1274;501;156;142;43;31;154;24;8;7;3;181;2;19;3
235;14625600;3446;2168;2130;489;179;118;750;159;102;78;3489;2959;2912;799;349;211;1002;111;246;50;54;Bautzen 3;3571;2106;2070;1184;289;185;64;70;140;48;22;0;0;68;0;0;0;0;0;0;2072;873;283;201;106;86;131;18;33;2;3;271;6;47;12
236;14625610;2537;2054;1996;590;145;75;720;78;93;67;2564;2351;2323;695;246;132;840;54;204;36;56;Bautzen 5;2664;1622;1591;849;278;105;99;45;171;44;0;0;0;0;0;0;0;0;0;0;1604;718;225;110;66;52;142;15;11;2;2;225;12;21;3
237;14625630;4220;2648;2573;675;228;180;904;91;150;81;4319;2757;2715;750;323;241;975;66;176;43;52;Bautzen 1;4526;2900;2843;1251;530;320;118;81;342;48;0;0;0;153;0;0;0;0;0;0;2856;1100;451;293;128;72;299;42;25;7;3;339;5;73;19
238;14625640;4658;3384;3311;1297;210;171;878;144;139;160;4693;3847;3800;1575;325;261;1071;69;286;69;54;Bautzen 3;4781;2876;2849;2182;227;131;37;41;103;17;10;0;0;101;0;0;0;0;0;0;2843;1776;256;167;79;64;97;15;14;4;2;280;4;77;8
239;14626010;2808;1793;1755;468;194;182;517;80;69;39;2884;2793;2751;809;374;323;864;56;179;26;57;Görlitz 1;2979;1610;1589;594;258;430;28;38;74;18;0;0;128;21;0;0;0;0;0;0;1597;641;275;254;61;47;85;18;15;3;6;159;1;16;16
240;14626020;968;601;583;122;44;32;242;20;24;25;961;652;636;155;68;52;271;16;36;6;59;Görlitz 3;982;532;523;217;81;43;22;33;41;5;0;0;81;0;0;0;0;0;0;0;520;212;74;46;8;20;41;4;3;0;1;94;2;13;2
241;14626030;2797;2021;1965;569;158;94;662;79;76;73;2863;2944;2901;892;322;247;951;74;231;38;59;Görlitz 3;2939;1751;1713;810;276;151;85;79;57;19;0;0;236;0;0;0;0;0;0;0;1717;850;249;153;73;59;60;12;10;3;5;213;0;24;6
242;14626050;1783;1072;1035;246;76;61;368;60;49;55;1808;1215;1191;314;141;66;460;35;54;59;60;Görlitz 4;1882;937;913;367;146;81;32;39;68;4;0;0;129;47;0;0;0;0;0;0;915;320;153;89;43;39;70;18;5;1;0;124;7;42;4
