field_1;Wahlbezirk;Wahlkreis;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;AfD_1;GRÜNE_1;FDP_1;Die PARTEI_1;BüSo_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;AfD_2;GRÜNE_2;NPD_2;FDP_2;FREIE WÄHLER_2;Tierschutzpartei_2;PIRATEN_2 Deutschland;Die PARTEI_2;BüSo_2;ADPM_2;Blaue #TeamPetry_2;KPD_2;ÖDP_2;Die Humanisten_2;PDV_2;Gesundheitsforschung_2
"63";"14600";"45.0";"1252";"592";"588";"156";"93";"26";"165";"89";"35";"22.0";"2.0";"588";"168";"70";"40";"151";"74";"2";"38";"8";"7";"6";"11";"2";"5";"2";"0";"1";"1";"1";"1"
"64";"15100";"41.0";"1483";"520";"518";"118";"73";"48";"67";"170";"22";"20.0";;"519";"131";"51";"43";"67";"156";"0";"25";"4";"10";"5";"23";"0";"0";"0";"0";"0";"1";"0";"3"
"65";"15300";"41.0";"811";"361";"357";"84";"59";"33";"55";"94";"20";"12.0";;"355";"67";"62";"42";"50";"80";"6";"26";"4";"4";"1";"9";"0";"1";"1";"0";"1";"1";"0";"0"
"66";"21100";"47.0";"1237";"499";"498";"77";"107";"33";"73";"142";"19";"44.0";"3.0";"499";"65";"99";"47";"67";"120";"2";"26";"8";"13";"7";"32";"2";"1";"0";"1";"3";"2";"3";"1"
"67";"21200";"47.0";"1354";"559";"554";"93";"116";"38";"110";"135";"23";"36.0";"3.0";"556";"81";"100";"34";"107";"130";"3";"27";"7";"11";"7";"30";"0";"2";"1";"2";"3";"2";"2";"7"
"68";"21301";"47.0";"910";"418";"414";"76";"59";"42";"76";"114";"25";"22.0";"0.0";"415";"76";"49";"36";"69";"109";"2";"23";"18";"4";"7";"13";"0";"0";"2";"0";"4";"2";"0";"1"
"69";"21302";"47.0";"1594";"624";"612";"95";"114";"40";"110";"172";"29";"48.0";"4.0";"619";"83";"94";"57";"109";"154";"2";"32";"19";"15";"6";"34";"2";"2";"1";"0";"4";"4";"0";"1"
"70";"21303";"47.0";"899";"351";"349";"66";"49";"32";"58";"94";"19";"29.0";"2.0";"351";"63";"43";"32";"53";"97";"1";"16";"13";"7";"1";"18";"0";"2";"0";"0";"0";"4";"0";"1"
"71";"21400";"47.0";"1425";"550";"542";"88";"83";"46";"102";"171";"14";"34.0";"4.0";"546";"83";"71";"54";"94";"163";"1";"14";"11";"5";"9";"24";"2";"0";"2";"1";"2";"5";"0";"5"
"72";"21500";"47.0";"1495";"606";"594";"93";"100";"43";"125";"161";"23";"44.0";"5.0";"598";"80";"77";"52";"122";"152";"6";"23";"23";"5";"8";"38";"1";"1";"1";"0";"3";"0";"1";"5"
"73";"22100";"47.0";"1592";"697";"689";"160";"104";"67";"156";"121";"32";"41.0";"8.0";"693";"142";"95";"68";"149";"120";"2";"38";"14";"11";"5";"33";"4";"0";"1";"1";"5";"0";"1";"4"
"74";"22200";"47.0";"1406";"536";"531";"120";"69";"26";"164";"72";"28";"47.0";"5.0";"531";"107";"71";"29";"152";"57";"2";"26";"26";"12";"4";"27";"1";"1";"2";"0";"1";"6";"2";"5"
"75";"22300";"47.0";"1242";"515";"513";"122";"78";"35";"155";"61";"26";"32.0";"4.0";"513";"119";"69";"37";"152";"50";"0";"24";"17";"11";"5";"16";"1";"1";"0";"0";"4";"5";"0";"2"
"76";"22400";"47.0";"897";"413";"406";"113";"43";"23";"172";"21";"20";"7.0";"7.0";"409";"94";"42";"26";"161";"20";"4";"27";"13";"7";"0";"6";"3";"2";"0";"0";"2";"1";"1";"0"
