Wahlkreis;Partei;Kandidat
25;CDU;Kirmes, Svend-Gunnar
25;DIE LINKE;Köditz, Kerstin
25;SPD;Runge, Ingo
25;AfD;Dornau, Jörg
25;GRÜNE;Engelhardt, André
25;FDP;Constantin, Matthias
25;FREIE WÄHLER;Schmiedel, Matthias
25;Blaue #TeamPetry;von Below, Dorothea Bärbel Ursula
26;CDU;Ritter, Kay
26;DIE LINKE;Kretzschmar, Jens
26;SPD;Kilian, Birgit
26;AfD;Zaunick, Jens
26;GRÜNE;Schmidt, Annett
26;FDP;Drews, Sebastian
26;FREIE WÄHLER;Dietze, Dieter Andreas
27;CDU;Pohle, Ronald
27;DIE LINKE;Fuchs, Angela
27;SPD;Arpaci, Arnold
27;AfD;Penndorf, Kerstin
27;GRÜNE;Fehse-Klinke, Andre
27;FDP;Gehrhardt, Michael
27;FREIE WÄHLER;Winkler, Ralf Reinhard
28;CDU;Albrecht, Karsten
28;DIE LINKE;Nagel, Juliane
28;SPD;Menzel, Lars
28;AfD;Wiesner, Alexander
28;GRÜNE;Piechotta, Dr. Paula
28;FDP;Ascherl, Rudolf
28;FREIE WÄHLER;Bohse, Reinhard
28;Die PARTEI;Kumbernuß, Thomas
29;CDU;Nowak, Andreas
29;DIE LINKE;Bednarsky, Dr. Adam
29;SPD;Heinke, Waltra
29;AfD;Böhme, Petra
29;GRÜNE;Čagalj Sejdi, Petra
29;FDP;Vosberg, Friedrich
29;FREIE WÄHLER;Baier, Monika
29;BüSo;Gründler, Birgitta
30;CDU;Weickert, Michael
30;DIE LINKE;Böhme, Marco
30;SPD;Rudolph-Kokot, Irena
30;AfD;Pasemann, Falk-Gert
30;GRÜNE;Maicher, Dr. Claudia
30;FDP;Münch, Judith
30;FREIE WÄHLER;Schröder, Carola
30;Blaue #TeamPetry;Fechner, Frank
31;CDU;Clemen, Robert
31;DIE LINKE;Ehms, Beate
31;SPD;Panter, Dirk
31;AfD;Kühne, Jörg Steffen
31;GRÜNE;Melcher, Christin
31;FDP;Pfüller, Michael
31;FREIE WÄHLER;Soudah, André
31;Die PARTEI;Nagy, Michael
32;CDU;Rost, Wolf-Dietrich
32;DIE LINKE;Götze, Marco
32;SPD;Mann, Holger
32;AfD;Keller, Tobias Martin
32;GRÜNE;Spenn, Johannes
32;FDP;Franke, Kristin
32;FREIE WÄHLER;Weidinger, Thomas
32;BüSo;Fellauer, Madeleine
33;CDU;Gasse, Holger
33;DIE LINKE;Sodann, Franz
33;SPD;Schmidt, Michael
33;AfD;Hentschel, Holger
33;GRÜNE;Gerber, Dr. Daniel
33;FDP;Kraus, Christof
33;FREIE WÄHLER;Baier, Robert
33;Die PARTEI;Gonsior, Julius
33;BüSo;Scharf, Jürgen
33;WIR sind LEIPZIGER;Kohl, Ralf Detlef
34;CDU;Kiesewetter, Jörg
34;DIE LINKE;Stoye, Christian
34;SPD;Holke, Martin
34;AfD;Ulbrich, Roland Walter Hermann
34;GRÜNE;Schneider, Anna
34;FDP;Mainz, Detlef Kaspar
34;FREIE WÄHLER;Corsa, Constantin
35;CDU;Gemkow, Sebastian
35;DIE LINKE;Neuhaus-Wartenberg, Luise
35;SPD;Teuber, Mathias
35;AfD;Bochmann, René
35;GRÜNE;Kunze, Enrico
35;FDP;Schieritz, Stefan
35;FREIE WÄHLER;Rabe, Birgit
36;CDU;Merbitz, Bernd
36;DIE LINKE;Bagusat-Sehrt, Michael
36;SPD;Winkler, Volkmar
36;AfD;Petzold, Gudrun
36;GRÜNE;Scheller, Johanna Barbara
36;FDP;Waitz, Christoph
36;FREIE WÄHLER;Wendt, Denise
37;CDU;Mackenroth, Geert
37;DIE LINKE;Knebel, Uta
37;SPD;Drechsler, Amrei
37;AfD;Hütter, Carsten
37;GRÜNE;Meier, Katja
37;FDP;Borner, Sven
37;FREIE WÄHLER;Wamser, Dieter
38;CDU;Fischer, Sebastian
38;DIE LINKE;Richter, Erik Christopher
38;SPD;Schittko, Katja
38;AfD;Beger, Mario
38;GRÜNE;Berndt, Thomas
38;FDP;Pursche, Berthold
38;FREIE WÄHLER;Langerfeld, André
39;CDU;Kuge, Daniela
39;DIE LINKE;Hellmann, Tilo
39;SPD;Richter, Frank
39;AfD;Kirste, Thomas
39;GRÜNE;Wengenmayr, Martin
39;FDP;Bahrmann, Martin
39;FREIE WÄHLER;Reimann-Bernhardt, Dr. Brit
40;CDU;Rößler, Dr. Matthias
40;DIE LINKE;Borowitzki, Daniel Falco
40;SPD;Dulig, Martin
40;AfD;Hein, René
40;GRÜNE;Plessing, Dr. Tobias
40;FDP;Wolf, Alexander
40;FREIE WÄHLER;Kroemer, Bernhard
40;BüSo;Born, Thomas
41;CDU;Hartmann, Christian
